N	2gram	Berdyaev_M_1	RusskieA
1	и в	28	29
2	т е	2	24
3	что в	10	22
4	том что	3	22
5	в том	6	22
6	как бы	2	18
7	может быть	30	13
8	так как	3	13
9	как и	5	11
10	в этом	20	11
11	все это	6	10
12	в этот	2	10
13	и с	3	10
14	не только	29	10
15	о том	2	9
16	а в	4	9
17	но и	25	8
18	его в	3	8
19	как в	2	7
20	с тем	9	6
21	для того	2	6
22	для нас	3	6
23	вместе с	6	6
24	того чтобы	2	6
25	и на	6	6
26	на земле	2	5
27	потому что	16	5
28	это не	5	5
29	к этому	2	5
30	то что	5	5
31	и что	2	5
32	но не	8	5
33	с ней	2	5
34	не может	28	5
35	будто бы	3	5
36	но в	7	5
37	о чем	2	4
38	в них	4	4
39	и все	10	4
40	не все	2	4
41	вопрос о	2	4
42	уже не	4	4
43	не в	16	4
44	к нему	7	4
45	у нас	5	4
46	а не	25	4
47	в которых	4	4
48	на этом	3	3
49	тем что	4	3
50	и там	4	3
51	должен был	4	3
52	в этих	4	3
53	и от	2	3
54	в ее	3	3
55	живет в	2	3
56	она не	4	3
57	до конца	14	3
58	того что	7	3
59	было бы	10	3
60	но если	3	3
61	в котором	8	3
62	не имеет	3	3
63	в свете	3	3
64	все эти	2	3
65	церковь и	2	3
66	и по	4	3
67	но он	9	3
68	в этой	6	3
69	с этой	4	2
70	могут быть	2	2
71	никогда не	14	2
72	жизни в	2	2
73	на природу	2	2
74	если он	5	2
75	прежде всего	10	2
76	не был	7	2
77	нет никаких	2	2
78	что и	4	2
79	под ним	2	2
80	к ней	4	2
81	человека а	3	2
82	это и	4	2
83	и как	2	2
84	одним из	2	2
85	чем в	2	2
86	то время	2	2
87	связано с	2	2
88	для них	3	2
89	в него	3	2
90	в виду	2	2
91	еще в	2	2
92	один из	4	2
93	должен быть	2	2
94	все же	2	2
95	в своей	15	2
96	все в	6	2
97	не к	4	2
98	в их	4	2
99	вряд ли	3	2
100	не было	18	2
101	и для	2	2
102	должно быть	3	2
103	людей и	2	2
104	в момент	3	2
105	одно из	3	2
106	с этим	3	2
107	решить вопрос	2	2
108	и еще	3	2
109	в то	2	2
110	когда мы	2	2
111	в которой	6	2
