N	3gram	Losev_Prob_4	Formalny
1	с точки зрения	11	14
2	на самом деле	3	12
3	в то же	2	7
4	и т д	3	6
5	во всяком случае	4	6
6	с другой стороны	6	5
7	в зависимости от	3	5
8	в данном случае	5	4
9	в связи с	3	4
10	для того чтобы	2	4
11	то же самое	6	3
12	вовсе не является	2	3
13	вместе с тем	3	3
14	в том что	8	3
15	потому что он	2	3
16	самом же деле	2	2
17	мы ни взяли	2	2
18	на самом же	2	2
19	тем не менее	10	2
20	сами по себе	2	2
21	и во всяком	3	2
22	не только не	4	2
23	дело не в	2	2
24	в этом смысле	3	2
