N	2gram	Vygotskiy__1	Sovremen
1	не может	12	17
2	точки зрения	26	12
3	может быть	14	12
4	таким образом	26	11
5	мы не	7	9
6	в этом	17	7
7	и в	23	7
8	и не	9	6
9	как и	14	6
10	в результате	4	6
11	мы можем	6	6
12	ничего не	3	6
13	прежде всего	10	5
14	все эти	4	5
15	и наконец	2	5
16	с точки	18	5
17	как бы	11	4
18	в развитии	12	4
19	мы видели	2	4
20	если мы	2	4
21	в целом	20	4
22	жизни и	2	4
23	вместе с	9	4
24	в зависимости	2	4
25	а в	2	4
26	вопрос о	7	4
27	не только	16	4
28	с помощью	13	4
29	в том	24	4
30	их в	4	4
31	точку зрения	2	4
32	мы должны	5	4
33	зависимости от	2	4
34	системы в	2	4
35	так как	7	4
36	уже в	3	3
37	самого начала	8	3
38	все же	3	3
39	он может	2	3
40	между собой	5	3
41	может не	3	3
42	все это	6	3
43	мы называем	3	3
44	в конце	2	3
45	в наших	3	3
46	то же	8	3
47	ясно что	2	3
48	на две	3	3
49	а не	3	3
50	и к	4	3
51	с самого	8	3
52	не в	4	3
53	в этой	7	3
54	он в	3	3
55	при этом	4	3
56	было бы	4	3
57	и т.д	5	3
58	и мы	3	3
59	в одном	4	3
60	и все	5	3
61	как он	3	3
62	в первом	2	3
63	в себе	6	3
64	в области	3	3
65	что она	4	3
66	но в	5	3
67	и потому	2	3
68	этих двух	3	2
69	каждого из	2	2
70	что это	3	2
71	в виде	2	2
72	можно назвать	2	2
73	на их	2	2
74	значение в	3	2
75	в нашем	2	2
76	приводит к	4	2
77	то и	3	2
78	из этих	3	2
79	что все	4	2
80	с одной	8	2
81	как мы	5	2
82	уже не	2	2
83	развития в	2	2
84	в свою	4	2
85	самом деле	3	2
86	и что	5	2
87	и пр	2	2
88	из которых	3	2
89	на этот	3	2
90	и даже	2	2
91	он должен	2	2
92	той же	2	2
93	мы видим	4	2
94	но все	2	2
95	такой же	3	2
96	свою собственную	2	2
97	во всяком	3	2
98	свою очередь	3	2
99	на этом	2	2
100	могут быть	3	2
101	с этим	6	2
102	как известно	3	2
103	что в	14	2
104	говорить о	2	2
105	с другом	4	2
106	со всеми	2	2
107	же самое	3	2
108	в один	2	2
109	в самом	7	2
110	ее на	4	2
111	в новых	3	2
112	друг с	4	2
113	в которой	3	2
114	в его	14	2
115	всяком случае	3	2
