N	2gram	Vygotskiy__2	DiskursI
1	не только	12	28
2	в том	37	23
3	а не	7	22
4	то есть	21	20
5	том что	21	19
6	может быть	18	17
7	и в	32	16
8	как и	10	16
9	в этом	13	15
10	еще не	2	14
11	но и	10	14
12	при этом	13	13
13	но не	2	11
14	и не	10	11
15	с другой	3	10
16	как в	9	10
17	далеко не	5	10
18	в частности	3	9
19	состоит в	3	9
20	в нем	4	9
21	не может	17	9
22	отнюдь не	5	8
23	так и	3	8
24	о том	6	8
25	но в	3	8
26	в основе	11	7
27	в его	2	7
28	то же	13	7
29	не было	2	7
30	роль в	2	7
31	в себе	2	7
32	только в	7	7
33	не в	8	7
34	и как	7	6
35	к тому	7	5
36	как бы	6	5
37	в своей	3	5
38	то что	21	5
39	во всех	3	5
40	в процессе	2	5
41	а с	2	5
42	а в	4	5
43	в их	3	5
44	сводится к	2	5
45	отличие от	2	5
46	и на	5	5
47	в данном	4	5
48	с его	2	4
49	что в	20	4
50	в них	2	4
51	не как	3	4
52	и к	3	4
53	что он	13	4
54	в целом	4	4
55	же время	2	4
56	на его	2	4
57	отношение к	2	4
58	в особенности	2	4
59	что не	3	4
60	в которых	3	4
61	потому что	21	4
62	между тем	4	4
63	могут быть	4	4
64	того же	2	3
65	столь же	4	3
66	это не	2	3
67	по себе	12	3
68	что и	17	3
69	в ее	2	3
70	свою очередь	2	3
71	по своему	3	3
72	в свою	3	3
73	с этим	4	3
74	в действительности	4	3
75	в самом	12	3
76	к ним	2	3
77	один из	3	3
78	хотя бы	3	3
79	все же	4	3
80	из них	4	3
81	как не	2	3
82	таким образом	21	3
83	заключается в	12	3
84	того что	8	3
85	должны быть	3	3
86	другой стороны	2	3
87	и даже	5	3
88	принадлежат к	2	3
89	в своих	9	3
90	сказать что	7	3
91	тем что	9	3
92	точки зрения	17	3
93	в то	5	3
94	тому как	3	3
95	также и	2	3
96	в произведении	4	3
97	слова в	2	2
98	зависит от	2	2
99	не менее	8	2
100	никогда не	9	2
101	и без	2	2
102	в какой	2	2
103	одного и	2	2
104	и все	4	2
105	к искусству	5	2
106	в одном	2	2
107	в каждом	2	2
108	это в	2	2
109	об этом	3	2
110	на этом	3	2
111	указывает на	3	2
112	отличается от	2	2
113	что с	3	2
114	в сущности	7	2
115	иначе говоря	4	2
116	к области	3	2
117	сами по	3	2
118	например в	3	2
119	оно не	2	2
120	точка зрения	2	2
121	и тем	4	2
122	с ее	3	2
123	того или	3	2
124	когда он	10	2
125	на том	2	2
126	что же	3	2
127	данном случае	4	2
128	целый ряд	6	2
129	дело с	8	2
130	как к	3	2
131	и что	22	2
132	том чтобы	3	2
133	и он	3	2
134	и по	4	2
135	и его	7	2
136	во всяком	2	2
137	мы имеем	4	2
138	подобно тому	2	2
139	и ее	3	2
140	но как	3	2
141	к которому	2	2
142	и вообще	2	2
143	же самое	6	2
144	в этой	6	2
145	заметить что	2	2
146	едва ли	4	2
147	для художественного	2	2
148	в виду	3	2
149	это было	3	2
