N	2gram	Savitsky_E_1	Problemy
1	и в	37	46
2	то есть	6	40
3	и не	14	27
4	может быть	6	23
5	как бы	6	19
6	не может	9	19
7	в этом	12	16
8	не только	18	14
9	но и	14	12
10	как и	7	12
11	как мы	5	12
12	и на	6	11
13	точки зрения	23	11
14	в одном	2	11
15	а не	2	11
16	не в	5	10
17	в пределах	25	10
18	между ними	2	10
19	прежде всего	9	9
20	в том	11	9
21	в большинстве	2	9
22	в самом	4	9
23	и все	2	9
24	вовсе не	6	9
25	и к	3	9
26	в его	2	9
27	с точки	17	9
28	большинстве случаев	3	8
29	или в	2	8
30	и с	2	7
31	по себе	4	7
32	в себе	9	7
33	никогда не	3	6
34	есть в	2	6
35	хотя и	2	6
36	но в	14	6
37	то же	15	6
38	только в	9	6
39	же время	14	5
40	друг с	3	5
41	в котором	2	5
42	к нему	2	5
43	нам кажется	7	5
44	жизни и	2	5
45	ведь и	2	5
46	в то	16	5
47	так как	7	5
48	о том	3	5
49	во всех	6	5
50	с другом	3	5
51	что в	21	4
52	в этих	2	4
53	можно сказать	4	4
54	к ним	3	4
55	в их	11	4
56	таким образом	2	4
57	и других	2	4
58	в направлении	4	4
59	и наконец	2	4
60	потому что	3	4
61	мы не	4	4
62	мы можем	3	4
63	как в	3	4
64	том что	6	4
65	но не	5	4
66	он не	2	4
67	то что	6	4
68	в процессе	4	4
69	так и	10	4
70	на себя	3	4
71	в отношении	32	3
72	с другой	7	3
73	не могут	2	3
74	на то	6	3
75	в мире	2	3
76	такой же	2	3
77	в своем	14	3
78	но если	5	3
79	и для	3	3
80	не к	2	3
81	другой стороны	2	3
82	так же	9	3
83	и только	3	3
84	и даже	6	3
85	также и	7	3
86	бы в	2	3
87	если бы	2	3
88	и во	2	3
89	по своей	2	3
90	того же	3	3
91	и что	2	3
92	она не	2	3
93	но именно	2	3
94	было бы	8	3
95	кажется что	2	3
96	в своей	8	3
97	что и	3	3
98	что же	2	3
99	еще более	2	3
100	в той	5	3
101	тем что	3	3
102	в этой	2	3
103	далеко не	2	3
104	дело в	3	3
105	он сам	2	2
106	но на	3	2
107	должна быть	2	2
108	вопрос о	4	2
109	для понимания	2	2
110	или иной	4	2
111	от них	3	2
112	к тому	8	2
113	для нас	4	2
114	в известной	3	2
115	и как	2	2
116	же как	5	2
117	не дает	3	2
118	как нам	5	2
119	в общем	3	2
120	меньшей степени	2	2
121	той или	4	2
122	если в	2	2
123	и тем	3	2
124	целый ряд	2	2
125	влияние на	2	2
126	в других	2	2
127	пожалуй и	2	2
128	и по	5	2
129	а в	2	2
130	в которых	3	2
131	в результате	3	2
132	сказать что	4	2
133	между тем	8	2
134	с этим	2	2
135	этом смысле	3	2
136	стороны и	6	2
137	бы ни	3	2
138	но с	2	2
139	не нужно	2	2
140	к ней	4	2
141	только к	2	2
142	когда он	3	2
143	вместе с	2	2
144	бы и	3	2
145	на этот	2	2
146	хотя бы	15	2
147	можно было	3	2
148	в данном	3	2
149	этот вопрос	2	2
150	во всяком	3	2
151	от этого	5	2
152	могут быть	2	2
153	отношении к	15	2
154	там где	3	2
155	одном из	2	2
