N	3gram	Vygotskiy__3	Myshleni
1	с точки зрения	9	21
2	для того чтобы	8	18
3	в том что	11	13
4	с самого начала	6	7
5	к тому что	2	6
6	в данном случае	2	5
7	то же самое	8	5
8	с одной стороны	5	5
9	в самом деле	18	4
10	о том что	3	4
11	мы могли бы	3	4
12	на то что	12	4
13	вместе с тем	2	4
14	заключается в том	6	4
15	и то что	3	3
16	смысле этого слова	2	3
17	мы не можем	2	3
18	не совпадает с	2	3
19	одно и то	2	3
20	то и другое	3	3
21	как мы видели	2	3
22	до сих пор	5	3
23	и то же	2	3
24	в свою очередь	2	2
25	не можем не	2	2
26	в то время	2	2
27	в сущности говоря	7	2
28	в какой мере	2	2
29	о которых мы	5	2
30	в лучшем случае	2	2
31	больше и больше	2	2
32	и вместе с	2	2
33	на самом деле	2	2
34	то время как	2	2
35	все больше и	2	2
36	которых мы говорили	2	2
