N	2gram	Losev_Prob_5	KFilosof
1	может быть	7	43
2	в его	12	39
3	в нем	6	31
4	не может	5	27
5	и не	12	26
6	по отношению	2	25
7	и в	30	22
8	в котором	2	21
9	отношению к	2	21
10	в себе	4	21
11	в ее	3	17
12	а не	5	17
13	и его	6	17
14	только в	9	16
15	точки зрения	10	13
16	в этом	17	13
17	ни в	4	12
18	но не	7	12
19	все эти	2	11
20	в своей	22	11
21	не в	7	11
22	к нему	3	11
23	в своем	11	10
24	это не	2	10
25	с точки	8	10
26	но и	13	9
27	как бы	6	9
28	и все	9	9
29	и для	6	9
30	было бы	4	8
31	жизни и	2	8
32	вовсе не	8	7
33	конечно не	2	7
34	что и	6	7
35	то что	18	7
36	быть только	3	7
37	я не	2	6
38	в смысле	4	6
39	в том	12	6
40	отношение к	2	6
41	и только	2	6
42	отнюдь не	4	6
43	и их	5	6
44	он не	3	6
45	уже не	6	6
46	мира в	3	6
47	никогда не	7	5
48	хотя бы	2	5
49	то же	2	5
50	но все	4	5
51	именно в	3	5
52	его в	6	5
53	с ним	3	5
54	но в	9	5
55	жизни в	4	5
56	как и	7	5
57	не только	18	5
58	для себя	5	5
59	все же	9	5
60	мы имеем	2	5
61	что в	5	4
62	для нас	10	4
63	при этом	4	4
64	между тем	2	4
65	в одном	3	4
66	нисколько не	5	4
67	мира и	2	4
68	том что	17	4
69	а в	6	4
70	в чем	2	4
71	не менее	5	3
72	в свою	2	3
73	в виду	3	3
74	и тем	3	3
75	того что	3	3
76	и на	6	3
77	людей и	13	3
78	в ней	3	3
79	в то	4	3
80	о том	12	3
81	мы не	2	3
82	тогда когда	4	3
83	этом смысле	3	3
84	ясно что	4	3
85	еще не	3	3
86	и делает	2	3
87	бы не	3	3
88	самом деле	2	3
89	для того	3	3
90	что не	2	3
91	что этот	5	3
92	тем как	2	3
93	тем что	2	3
94	в другом	3	3
95	человека вообще	2	3
96	здесь не	7	3
97	ничего не	2	3
98	и ясно	2	2
99	а с	4	2
100	это уже	2	2
101	то ни	2	2
102	прежде всего	6	2
103	тем не	5	2
104	себе а	2	2
105	и как	6	2
106	совсем не	3	2
107	но для	2	2
108	по себе	2	2
109	на первом	3	2
110	именно на	2	2
111	потому что	13	2
112	он и	5	2
113	что только	2	2
114	и то	5	2
115	с тем	5	2
116	раз и	2	2
117	к этому	2	2
118	что он	7	2
119	не будет	2	2
120	бы то	2	2
121	в качестве	4	2
122	тот же	3	2
123	со всеми	2	2
124	в это	2	2
125	именно она	2	2
126	так и	7	2
127	как в	2	2
128	в виде	10	2
129	если не	4	2
130	еще более	3	2
131	того чтобы	2	2
132	жизнь и	3	2
133	в данном	2	2
134	человек и	2	2
135	от этого	3	2
136	и просто	2	2
137	всей своей	2	2
138	которого и	2	2
139	в этой	10	2
140	его на	2	2
141	первом плане	3	2
142	дело в	2	2
143	едва ли	4	2
144	в области	2	2
