N	2gram	Medvedev_F_1	Narrotol
1	не только	7	32
2	может быть	14	25
3	но и	7	23
4	и не	20	20
5	и в	24	19
6	в том	6	18
7	в этом	15	17
8	в частности	4	14
9	не в	8	14
10	а не	10	12
11	то что	8	11
12	а в	6	11
13	не может	16	10
14	точки зрения	16	10
15	при этом	5	9
16	со стороны	5	9
17	так и	18	9
18	в его	23	9
19	в мире	4	9
20	с другой	5	8
21	в себе	3	8
22	как и	11	7
23	еще не	6	7
24	к тому	3	7
25	все же	3	7
26	как в	8	7
27	по отношению	4	7
28	с одной	4	7
29	одной стороны	4	7
30	с его	4	6
31	что он	3	6
32	отношению к	4	6
33	но не	3	6
34	точка зрения	2	6
35	именно в	8	6
36	тем самым	3	6
37	как это	6	6
38	но в	5	6
39	и как	3	5
40	отнюдь не	6	5
41	по себе	5	5
42	уже не	2	5
43	и его	10	5
44	в основе	3	5
45	в этой	6	5
46	мира в	2	5
47	прежде всего	22	4
48	в нем	14	4
49	то же	10	4
50	же в	3	4
51	но все	2	4
52	в противовес	2	4
53	же время	8	4
54	было бы	6	4
55	связи с	3	4
56	одной из	2	4
57	как бы	6	4
58	хотя бы	5	4
59	отличается от	3	4
60	в особенности	3	4
61	только в	2	4
62	здесь не	3	4
63	и с	8	4
64	не менее	11	3
65	еще одна	2	3
66	жизни в	2	3
67	ни было	2	3
68	же как	2	3
69	что в	4	3
70	никогда не	4	3
71	в свою	8	3
72	ни в	2	3
73	это и	3	3
74	одна из	2	3
75	свою очередь	6	3
76	в ней	10	3
77	он не	3	3
78	и даже	3	3
79	один из	3	3
80	не с	2	3
81	не есть	2	3
82	с ее	7	3
83	бы то	3	3
84	жизни и	7	3
85	когда он	3	3
86	в ее	8	3
87	бытия в	3	3
88	на него	2	3
89	особенно в	3	3
90	то ни	3	3
91	как мы	5	3
92	сводится к	3	3
93	или иначе	2	3
94	и на	8	3
95	между тем	2	3
96	не о	3	3
97	в то	9	3
98	бы быть	2	3
99	в произведении	2	3
100	независимо от	4	2
101	должна быть	7	2
102	в своем	11	2
103	оно не	4	2
104	от всех	3	2
105	не как	4	2
106	не могло	5	2
107	или иного	3	2
108	в литературе	5	2
109	не сводится	2	2
110	идет о	2	2
111	его как	3	2
112	по существу	2	2
113	чтобы стать	2	2
114	более или	6	2
115	подход к	2	2
116	между ними	3	2
117	во внешнем	2	2
118	для него	3	2
119	в пределах	6	2
120	она не	6	2
121	не от	2	2
122	наконец в	3	2
123	и потому	9	2
124	и др	5	2
125	нет и	2	2
126	сами по	2	2
127	время в	3	2
128	и до	5	2
129	или менее	6	2
130	в самую	2	2
131	приводит к	2	2
132	отношение к	3	2
133	во всей	2	2
134	так же	4	2
135	как раз	2	2
136	не на	2	2
137	как к	3	2
138	в связи	4	2
139	отношения к	6	2
140	не было	3	2
141	все эти	6	2
142	происходит и	2	2
143	они не	3	2
144	самом деле	6	2
145	того или	2	2
146	с точки	13	2
147	это не	2	2
148	в результате	2	2
149	и ее	10	2
150	этого слова	3	2
151	и все	6	2
152	жизни но	2	2
153	его в	3	2
154	ничего не	2	2
155	к которому	2	2
