N	3gram	Vinokur_Ku_3	Myshleni
1	с точки зрения	16	21
2	для того чтобы	11	18
3	в этом случае	4	14
4	в том что	8	13
5	в данном случае	4	5
6	с одной стороны	4	5
7	по отношению к	2	5
8	в самом деле	11	4
9	о том что	3	4
10	не может быть	3	4
11	смысле этого слова	2	3
12	тем не менее	9	3
13	как мы видели	2	3
14	до сих пор	8	3
15	в первом случае	2	3
16	в какой мере	2	2
17	бы сказать что	3	2
18	в отличие от	2	2
19	ни в какой	2	2
20	в известном смысле	2	2
21	одним и тем	2	2
22	и тем же	2	2
23	на самом деле	3	2
24	какой мере не	2	2
