N	2gram	Berdyaev_N_1	StatiiOP
1	и в	16	29
2	том что	2	27
3	в том	8	27
4	в этом	7	21
5	но и	3	19
6	что в	9	19
7	не только	5	19
8	о том	4	17
9	то что	4	11
10	все это	5	11
11	к тому	3	10
12	так и	2	9
13	и не	11	9
14	потому что	4	9
15	он не	8	9
16	и пр	3	8
17	но в	2	8
18	с тем	3	7
19	в ней	5	7
20	я не	2	7
21	в своей	3	7
22	вместе с	2	7
23	вопрос о	3	6
24	и что	2	6
25	того чтобы	2	6
26	и на	2	6
27	прежде всего	4	5
28	а не	17	5
29	времени и	2	4
30	с другой	3	4
31	не в	6	4
32	и к	5	4
33	хотя и	2	4
34	в нем	5	4
35	еще до	2	4
36	и с	2	4
37	не менее	4	3
38	же как	2	3
39	с этим	2	3
40	ни в	6	3
41	но это	6	3
42	но не	2	3
43	должно было	2	3
44	никогда не	6	3
45	и даже	2	3
46	другой стороны	2	3
47	как в	3	3
48	не было	4	3
49	хотя бы	2	3
50	так же	2	3
51	в россии	3	3
52	xix века	5	3
53	с его	6	2
54	в них	4	2
55	в духе	3	2
56	в ее	3	2
57	xviii века	2	2
58	по существу	2	2
59	как и	7	2
60	в истории	3	2
61	в то	2	2
62	по своему	4	2
63	такого рода	2	2
64	может быть	7	2
65	к власти	3	2
66	и потому	4	2
67	нет и	2	2
68	не могли	2	2
69	к подлинному	2	2
70	не к	2	2
71	века и	2	2
72	не может	16	2
73	истории и	9	2
74	все эти	2	2
75	что такое	3	2
76	не имеет	4	2
77	сказать что	3	2
78	в себе	2	2
79	и это	2	2
80	как это	2	2
81	это было	3	2
