N	2gram	Kanaev_Sov_1	Psycholo
1	и в	7	33
2	в этом	7	28
3	как бы	4	25
4	и что	2	25
5	может быть	12	22
6	что в	2	21
7	в том	4	21
8	и мы	3	15
9	что это	2	13
10	таким образом	11	13
11	и не	6	13
12	все это	3	13
13	в самом	2	12
14	и все	3	12
15	так как	4	12
16	было бы	3	12
17	если мы	4	12
18	самом деле	2	12
19	что все	2	11
20	что она	3	10
21	не может	17	10
22	в его	2	10
23	в этой	3	9
24	то же	3	9
25	в конце	3	8
26	вместе с	4	8
27	для нас	3	7
28	в нем	3	7
29	не только	4	7
30	это не	4	6
31	все эти	5	6
32	точки зрения	12	6
33	же самое	2	6
34	когда мы	3	6
35	у него	2	6
36	мы видим	2	6
37	мы должны	4	6
38	а не	3	6
39	в себе	3	6
40	самого начала	3	5
41	с самого	3	5
42	в целом	4	5
43	мы не	9	5
44	как он	3	5
45	мы можем	6	5
46	ясно что	3	5
47	с этим	2	5
48	как и	6	5
49	все же	3	5
50	и есть	2	4
51	друг с	2	4
52	совершенно не	2	4
53	из них	4	4
54	жизни и	4	4
55	а в	4	4
56	с совершенно	2	4
57	знаем что	2	4
58	у нас	3	4
59	одна из	3	4
60	как мы	2	4
61	с точки	5	4
62	той же	2	4
63	в таком	2	4
64	с другом	2	4
65	в которой	2	4
66	с одной	2	3
67	тот же	2	3
68	на этом	2	3
69	не можем	7	3
70	всяком случае	2	3
71	их в	4	3
72	мы получим	3	3
73	при таком	3	3
74	в одном	3	3
75	говорить о	2	3
76	из которых	2	3
77	во всяком	2	3
78	в виде	2	3
79	на этот	2	3
80	уже в	3	2
81	из этих	2	2
82	прежде всего	5	2
83	вопрос о	4	2
84	мы знаем	2	2
85	но все	2	2
86	такой же	2	2
87	времени и	2	2
88	при этом	3	2
89	все те	2	2
90	но мы	3	2
91	и наконец	5	2
92	в результате	6	2
93	не в	3	2
94	и потому	3	2
95	но в	3	2
96	же мы	2	2
97	он может	3	2
98	и к	3	2
99	а на	2	2
100	что при	2	2
101	ее на	2	2
102	на две	3	2
103	и именно	2	2
104	см рис	5	2
105	только одна	6	2
106	ничего не	6	2
