N	2gram	Bakhtin_Fr_1	StatiiOP
1	и в	65	25
2	в этом	15	24
3	в том	16	20
4	что в	3	19
5	что он	3	19
6	может быть	6	19
7	том что	6	15
8	в этой	4	14
9	и пр	5	13
10	в его	9	12
11	то что	3	12
12	не только	10	12
13	в этих	2	11
14	прежде всего	11	10
15	и не	22	10
16	но и	10	9
17	все это	9	8
18	в своих	5	8
19	о том	2	8
20	это было	2	8
21	это не	3	7
22	не может	3	7
23	точки зрения	7	7
24	из этих	2	6
25	не в	4	6
26	только в	7	6
27	как бы	22	6
28	как в	5	6
29	и на	11	6
30	в области	7	6
31	между тем	5	6
32	у шекспира	3	5
33	в них	5	5
34	потому что	5	5
35	с другой	3	5
36	и это	2	5
37	в году	6	5
38	того что	2	5
39	он не	2	5
40	отметить что	2	5
41	так и	10	5
42	но в	14	5
43	этом отношении	3	4
44	и др	24	4
45	связана с	5	4
46	в жизни	4	4
47	это в	4	4
48	мировой литературе	3	4
49	как и	5	4
50	мы видим	2	4
51	но это	3	4
52	на протяжении	5	4
53	можно сказать	2	4
54	в общем	4	4
55	например в	2	4
56	и к	4	4
57	на его	2	4
58	в ней	6	4
59	в своей	5	4
60	в целом	2	4
61	отношение к	4	4
62	связь с	5	4
63	в особенности	2	4
64	с точки	3	4
65	в чем	2	4
66	к нему	3	4
67	и для	2	4
68	и с	3	4
69	сказать что	6	4
70	все же	6	4
71	xix века	5	4
72	ничего не	3	4
73	с его	5	3
74	во время	4	3
75	и здесь	3	3
76	всех этих	8	3
77	он был	2	3
78	для него	5	3
79	кроме того	2	3
80	до конца	2	3
81	одной стороны	2	3
82	несмотря на	2	3
83	между прочим	2	3
84	и наконец	2	3
85	все эти	10	3
86	не является	3	3
87	в некоторых	2	3
88	подчеркнуть что	2	3
89	в их	4	3
90	как раз	3	3
91	уже не	3	3
92	в системе	3	3
93	что мы	2	3
94	и его	10	3
95	связан с	3	3
96	связи с	4	3
97	так как	6	3
98	во многом	2	2
99	никогда не	6	2
100	и у	6	2
101	и во	3	2
102	этих двух	2	2
103	в духе	8	2
104	вовсе не	18	2
105	его к	2	2
106	или иной	5	2
107	к тому	2	2
108	как мы	6	2
109	на котором	3	2
110	но все	3	2
111	есть в	5	2
112	но не	2	2
113	времени и	6	2
114	до сих	4	2
115	еще не	6	2
116	в это	2	2
117	в самом	4	2
118	в сущности	16	2
119	во всех	9	2
120	xvii века	4	2
121	при всей	2	2
122	нужно сказать	4	2
123	на что	2	2
124	в виду	3	2
125	нет и	2	2
126	сих пор	4	2
127	в форме	3	2
128	до нас	3	2
129	в отношении	6	2
130	начиная с	2	2
131	с одной	2	2
132	и других	3	2
133	не просто	3	2
134	от того	2	2
135	нужно отметить	3	2
136	самом деле	3	2
137	что не	2	2
138	и по	2	2
139	не была	2	2
140	во многих	2	2
141	или в	2	2
142	ни на	2	2
143	одно из	6	2
144	могут быть	2	2
145	он и	3	2
146	др но	2	2
147	но как	3	2
148	жизни но	2	2
149	здесь только	2	2
150	и ни	3	2
151	так сказать	4	2
152	в чисто	2	2
153	то есть	45	2
