N	3gram	Savitsky_E_1	Problema
1	в том что	6	9
2	той или иной	4	8
3	в данном случае	2	7
4	и в этом	4	6
5	во всяком случае	3	6
6	с другой стороны	2	5
7	не может быть	2	5
8	в то же	15	4
9	бы то ни	4	4
10	то ни было	4	3
11	можно было бы	3	3
12	того или иного	4	3
13	само по себе	4	3
14	заключается в том	2	3
15	по сравнению с	2	2
16	в той или	3	2
17	с точки зрения	16	2
18	же как и	3	2
19	не только в	4	2
20	можно сказать что	3	2
21	друг от друга	2	2
22	и только в	2	2
23	как мы видели	2	2
24	и в частности	2	2
25	этой точки зрения	5	2
