N	2gram	Nazirov_Tv_2	Myshleni
1	в том	8	33
2	том что	4	27
3	то что	3	20
4	в этом	8	19
5	и в	20	15
6	не только	13	15
7	что в	7	14
8	таким образом	10	14
9	что он	6	12
10	в самом	3	11
11	в процессе	2	11
12	в целом	6	10
13	но и	8	10
14	мы не	4	10
15	может быть	8	9
16	не является	3	9
17	не может	7	9
18	о том	5	9
19	так и	6	8
20	казалось бы	3	8
21	никогда не	11	8
22	не в	4	8
23	и что	2	8
24	если бы	4	8
25	и не	9	7
26	потому что	7	7
27	как бы	11	7
28	он не	3	7
29	во всяком	2	7
30	едва ли	2	7
31	в частности	2	6
32	точку зрения	2	6
33	в этой	5	6
34	по отношению	3	6
35	с другой	2	6
36	в истории	2	6
37	но в	4	6
38	вовсе не	2	6
39	как и	6	6
40	как известно	2	6
41	вместе с	3	6
42	самом деле	2	6
43	на этот	2	6
44	всяком случае	2	6
45	к которому	2	6
46	это не	7	5
47	уже в	2	5
48	представление о	7	5
49	и др	3	5
50	и даже	5	5
51	друг друга	2	5
52	отношению к	3	5
53	приводит к	2	5
54	то же	7	5
55	этот вопрос	3	5
56	прежде всего	8	4
57	в пользу	3	4
58	все это	6	4
59	так же	5	4
60	а в	4	4
61	их в	2	4
62	и с	8	4
63	в начале	3	4
64	при помощи	2	4
65	так как	3	4
66	к этому	3	4
67	все же	5	4
68	мы видим	4	4
69	в своей	6	4
70	как в	4	4
71	что его	2	4
72	а с	3	4
73	и его	9	4
74	только в	2	4
75	в которой	2	4
76	только для	2	3
77	он сам	3	3
78	все время	2	3
79	что у	4	3
80	человека и	3	3
81	об этом	4	3
82	что они	4	3
83	и сам	5	3
84	для него	3	3
85	при этом	8	3
86	точка зрения	2	3
87	из них	2	3
88	и только	2	3
89	все эти	4	3
90	но эта	2	3
91	и по	2	3
92	действия и	2	3
93	с другими	2	3
94	в которых	3	3
95	в основе	2	3
96	с ним	3	3
97	но не	5	3
98	одной из	3	3
99	для которого	2	3
100	когда он	4	3
101	что она	4	3
102	тем самым	4	3
103	а не	6	3
104	в отличие	2	3
105	и ее	2	3
106	и это	3	3
107	отличие от	2	3
108	ничего не	4	3
109	за собой	4	2
110	быть может	3	2
111	же как	3	2
112	и есть	2	2
113	с этой	3	2
114	в такой	2	2
115	что на	2	2
116	как у	3	2
117	и мы	3	2
118	в котором	3	2
119	в первой	2	2
120	могут быть	2	2
121	опираясь на	2	2
122	как по	2	2
123	в их	3	2
124	и других	2	2
125	но если	2	2
126	говорить о	2	2
127	но ведь	2	2
128	в одном	2	2
129	у него	6	2
130	отнюдь не	4	2
131	думается что	2	2
132	в стороне	2	2
133	связь с	2	2
134	именно в	6	2
135	наряду с	7	2
136	видим в	2	2
137	том же	2	2
138	в его	10	2
139	о своих	2	2
140	нет и	2	2
141	и тогда	2	2
142	тем что	3	2
143	в себе	3	2
144	и вообще	2	2
145	это все	2	2
