N	2gram	Potebnia_M_2	Komedia
1	и в	24	22
2	том что	8	12
3	в том	18	11
4	но и	9	11
5	не только	15	10
6	из них	5	10
7	в то	6	10
8	как и	7	9
9	и т	6	9
10	может быть	23	9
11	в одном	6	8
12	таким образом	11	8
13	и не	19	8
14	и его	2	8
15	о том	5	8
16	и других	2	7
17	что в	16	6
18	что он	4	6
19	и по	2	6
20	то же	12	6
21	не в	13	6
22	а в	8	6
23	в которой	5	6
24	уже в	5	5
25	с другой	6	5
26	во время	4	5
27	прежде всего	7	5
28	о которых	3	5
29	при этом	13	5
30	в его	2	5
31	один из	2	5
32	так и	5	5
33	как в	10	5
34	все это	2	5
35	другой стороны	2	5
36	то время	4	5
37	потому что	49	5
38	т п	3	5
39	между тем	6	5
40	к этому	2	4
41	по поводу	6	4
42	же в	5	4
43	в другом	2	4
44	что они	5	4
45	же время	2	4
46	в котором	4	4
47	в нем	9	4
48	что и	11	4
49	на него	3	4
50	так в	4	4
51	т д	3	4
52	тем что	7	4
53	время как	4	4
54	так как	10	4
55	одном из	4	4
56	но в	4	4
57	мы можем	12	4
58	место в	4	3
59	главным образом	4	3
60	не менее	5	3
61	в них	5	3
62	вопрос о	2	3
63	на то	5	3
64	у нас	2	3
65	и как	6	3
66	после того	2	3
67	тот же	5	3
68	одной стороны	3	3
69	и у	3	3
70	у него	2	3
71	хотя и	3	3
72	все же	5	3
73	в целом	3	3
74	так же	2	3
75	по отношению	2	3
76	того как	7	3
77	с одной	4	3
78	все остальные	5	3
79	мы не	11	3
80	и на	8	3
81	в этом	8	3
82	могут быть	8	3
83	только в	11	3
84	и все	3	3
85	его в	3	3
86	в чем	7	3
87	как это	2	3
88	в сознании	23	3
89	к которому	2	3
90	и здесь	2	2
91	ни было	3	2
92	независимо от	9	2
93	за пределы	2	2
94	связанные с	2	2
95	в состоянии	6	2
96	столь же	5	2
97	и во	3	2
98	они с	3	2
99	на все	3	2
100	вовсе не	9	2
101	образом в	4	2
102	указывает на	2	2
103	в свою	6	2
104	от них	3	2
105	тем не	6	2
106	мы знаем	2	2
107	а к	2	2
108	такой же	4	2
109	одна из	4	2
110	на этом	2	2
111	но не	12	2
112	совсем не	2	2
113	а то	2	2
114	того же	14	2
115	в себя	2	2
116	время и	2	2
117	до сих	4	2
118	еще не	4	2
119	было бы	13	2
120	в действительности	2	2
121	мог бы	3	2
122	в самом	4	2
123	между прочим	4	2
124	относится к	3	2
125	всяком случае	7	2
126	только один	4	2
127	на две	2	2
128	и тем	3	2
129	то что	20	2
130	вместе с	11	2
131	судя по	5	2
132	все что	3	2
133	со стороны	3	2
134	или менее	8	2
135	вслед за	3	2
136	находится в	3	2
137	только что	3	2
138	то и	9	2
139	не может	12	2
140	в других	4	2
141	видно из	2	2
142	которых мы	3	2
143	что у	2	2
144	и притом	3	2
145	или в	2	2
146	нас в	2	2
147	указания на	4	2
148	но это	3	2
149	тем как	2	2
150	во всяком	7	2
151	несколько раз	2	2
152	к ней	2	2
153	но он	2	2
154	в себе	10	2
155	или по	2	2
156	сих пор	4	2
