N	2gram	Propp_Isto_3	Literetu
1	не только	14	24
2	при этом	2	19
3	в качестве	2	17
4	но и	12	17
5	а не	6	16
6	в том	9	16
7	в частности	5	15
8	том что	8	14
9	может быть	11	13
10	и не	12	12
11	в этом	17	12
12	состоит в	3	11
13	прежде всего	3	11
14	в своем	2	11
15	то что	7	10
16	в русской	3	10
17	не в	4	8
18	в целом	3	8
19	и в	22	8
20	только в	4	8
21	как это	4	8
22	не менее	5	7
23	я не	3	7
24	в его	3	7
25	уже не	7	7
26	в жизни	2	6
27	как и	3	6
28	связи с	6	6
29	на смену	4	6
30	того что	5	6
31	точки зрения	2	6
32	что он	9	5
33	же в	2	5
34	а также	2	5
35	как в	2	5
36	не может	4	5
37	то же	6	5
38	одним из	4	5
39	в данном	4	5
40	в то	2	5
41	это не	6	4
42	о себе	3	4
43	с миром	2	4
44	в силу	2	4
45	представляет собой	3	4
46	но не	7	4
47	еще не	10	4
48	все же	5	4
49	из них	7	4
50	данном случае	3	4
51	со стороны	3	4
52	так и	2	4
53	никогда не	3	4
54	в связи	3	4
55	друг друга	6	4
56	и его	4	4
57	в этой	5	4
58	с собой	2	4
59	не было	2	3
60	что в	15	3
61	и есть	2	3
62	с другой	7	3
63	одного из	2	3
64	да и	2	3
65	одна из	2	3
66	в пределах	4	3
67	например в	2	3
68	не мог	2	3
69	у него	3	3
70	один из	5	3
71	и др	2	3
72	жизни и	2	3
73	по отношению	2	3
74	а в	6	3
75	таким образом	10	3
76	и даже	2	3
77	той же	2	3
78	потому что	3	3
79	во всяком	2	3
80	он и	3	3
81	но в	10	3
82	далеко не	3	3
83	его в	3	3
84	на этом	4	2
85	для них	3	2
86	именно так	2	2
87	превращается в	3	2
88	из этих	3	2
89	не исключают	2	2
90	к тому	3	2
91	тем не	5	2
92	тому же	2	2
93	в другом	2	2
94	особого рода	3	2
95	одной стороны	2	2
96	было бы	3	2
97	следующим образом	3	2
98	относится к	2	2
99	всяком случае	2	2
100	для нее	2	2
101	даже в	2	2
102	в нем	9	2
103	то это	2	2
104	отношению к	2	2
105	на том	3	2
106	могло быть	3	2
107	только на	2	2
108	то и	6	2
109	с одной	2	2
110	все эти	4	2
111	из того	2	2
112	что не	2	2
113	во многих	2	2
114	роль в	2	2
115	и то	2	2
116	между тем	2	2
117	героя с	2	2
118	тем что	4	2
119	могут быть	5	2
120	на себя	2	2
121	себе в	2	2
122	как будто	2	2
123	ту же	2	2
124	как правило	2	2
125	на это	2	2
126	о том	3	2
127	нет ничего	2	2
