N	2gram	Tiupa_Lite_3	KFilosof
1	может быть	12	43
2	в его	6	39
3	в нем	2	31
4	не может	8	27
5	и не	22	26
6	по отношению	4	25
7	и в	16	22
8	отношению к	4	21
9	в себе	6	21
10	для меня	2	20
11	в ее	5	17
12	а не	12	17
13	и его	6	17
14	только в	7	16
15	точки зрения	7	13
16	в этом	14	13
17	для него	2	12
18	но не	4	12
19	в своей	7	11
20	не в	10	11
21	это не	5	10
22	от себя	2	10
23	во всех	2	10
24	с точки	3	10
25	в целом	5	9
26	но и	14	9
27	как бы	8	9
28	и для	4	9
29	лишь в	5	8
30	если бы	2	8
31	было бы	2	8
32	жизни и	3	8
33	со стороны	7	8
34	в единстве	3	7
35	что и	2	7
36	то что	12	7
37	себя в	7	7
38	быть только	2	7
39	я не	2	6
40	в том	12	6
41	отношение к	2	6
42	и только	2	6
43	в мире	16	6
44	отнюдь не	3	6
45	совершенно не	3	6
46	уже не	3	6
47	мира в	3	6
48	никогда не	4	5
49	то же	9	5
50	именно в	5	5
51	должно быть	4	5
52	в основе	5	5
53	его в	2	5
54	но в	3	5
55	не знает	2	5
56	жизни в	4	5
57	как и	5	5
58	что я	5	5
59	не только	14	5
60	для себя	2	5
61	все же	2	5
62	бытия в	2	5
63	жизни как	2	5
64	там где	3	5
65	жизнь как	2	5
66	место в	4	4
67	что в	2	4
68	входит в	4	4
69	ни было	2	4
70	при этом	15	4
71	в своих	2	4
72	с ними	2	4
73	между тем	3	4
74	в одном	4	4
75	не как	2	4
76	мира и	2	4
77	том что	8	4
78	о нем	2	4
79	во всей	2	4
80	а в	5	4
81	тем самым	7	4
82	а лишь	2	3
83	бы и	3	3
84	не менее	2	3
85	не я	2	3
86	целом и	2	3
87	в свою	2	3
88	до конца	4	3
89	и тем	3	3
90	того что	9	3
91	и на	2	3
92	в то	9	3
93	о том	6	3
94	сознания и	2	3
95	еще не	6	3
96	не могу	2	3
97	для которого	3	3
98	самом деле	3	3
99	для того	2	3
100	что не	2	3
101	тем что	2	3
102	в другом	6	3
103	и жизни	3	3
104	здесь не	2	3
105	то ни	2	2
106	прежде всего	3	2
107	вследствие этого	2	2
108	вопрос о	2	2
109	или иной	2	2
110	и как	3	2
111	эстетического субъекта	7	2
112	соответствии с	5	2
113	же время	7	2
114	себя и	2	2
115	по себе	2	2
116	быть не	2	2
117	действительности в	2	2
118	в принципе	2	2
119	а по	2	2
120	потому что	3	2
121	он и	2	2
122	к себе	8	2
123	той или	2	2
124	я и	10	2
125	ни к	3	2
126	с его	6	2
127	в жизни	8	2
128	к этому	2	2
129	что он	5	2
130	в соответствии	3	2
131	бы то	2	2
132	в качестве	5	2
133	со всеми	2	2
134	и потому	2	2
135	оно не	2	2
136	так и	9	2
137	как в	5	2
138	в ту	2	2
139	если не	2	2
140	того чтобы	2	2
141	в данном	4	2
142	в этой	8	2
143	ответственность за	2	2
144	едва ли	3	2
145	в области	3	2
