N	2gram	Losev_Prob_1	VLabPisa
1	таким образом	6	27
2	в этом	19	26
3	и в	32	25
4	и т	11	24
5	не только	17	22
6	может быть	14	21
7	хотя бы	3	20
8	и не	31	19
9	не может	8	17
10	объективной действительности	3	15
11	в его	6	15
12	т д	10	15
13	прежде всего	10	13
14	в том	9	13
15	все это	7	12
16	как это	6	12
17	с другой	3	11
18	из них	3	11
19	не могут	2	10
20	в качестве	2	10
21	о том	11	10
22	по этому	3	9
23	об этом	10	9
24	что в	12	9
25	для него	2	9
26	но и	9	9
27	то же	10	9
28	говорит и	3	8
29	все эти	8	8
30	в своем	5	8
31	другой стороны	3	8
32	могут быть	2	8
33	из этих	2	7
34	же в	4	7
35	как и	3	7
36	том что	12	7
37	было бы	8	7
38	говорит о	3	7
39	во всех	7	7
40	вместе с	2	7
41	этому поводу	3	7
42	не было	4	7
43	а не	15	7
44	это не	6	6
45	в себе	15	6
46	то что	42	6
47	более или	3	6
48	в нем	13	6
49	так и	12	6
50	или менее	3	6
51	и его	3	6
52	их в	4	6
53	между тем	2	6
54	в то	6	6
55	в результате	2	5
56	тому что	4	5
57	и при	2	5
58	связи с	5	5
59	и есть	6	5
60	действительности и	5	5
61	в искусстве	3	5
62	как бы	14	5
63	один из	4	5
64	в их	4	5
65	сказать что	13	5
66	действующих лиц	2	5
67	только в	7	5
68	не в	4	5
69	не является	5	5
70	к тому	3	4
71	никогда не	7	4
72	перед нами	5	4
73	что все	3	4
74	что он	7	4
75	с его	2	4
76	можно сказать	5	4
77	художественный образ	9	4
78	в ее	3	4
79	в своей	8	4
80	в самом	6	4
81	как раз	13	4
82	в них	7	4
83	в связи	4	4
84	чем же	2	4
85	в этой	10	4
86	это только	2	4
87	всех этих	7	3
88	и ее	8	3
89	с тем	5	3
90	и как	6	3
91	даже и	8	3
92	в конце	6	3
93	момент в	2	3
94	только что	2	3
95	у нас	14	3
96	по существу	2	3
97	что пишет	2	3
98	что они	3	3
99	но как	6	3
100	это мы	2	3
101	или в	4	3
102	по поводу	4	3
103	с этим	3	3
104	что не	3	3
105	например в	2	3
106	далеко не	5	3
107	в виду	6	3
108	в котором	5	3
109	нет и	2	3
110	его в	6	3
111	ее в	2	3
112	именно в	4	3
113	этой области	2	3
114	того что	7	3
115	так же	9	3
116	в которых	3	3
117	никак не	4	3
118	точки зрения	3	3
119	значит и	2	3
120	она не	2	3
121	является не	2	3
122	том как	2	3
123	не менее	19	2
124	что ни	2	2
125	он сам	2	2
126	только не	3	2
127	можно ли	5	2
128	которые обычно	2	2
129	по крайней	2	2
130	у пушкина	2	2
131	в жизни	3	2
132	о процессе	2	2
133	вовсе не	35	2
134	по себе	15	2
135	и заключается	2	2
136	или иной	5	2
137	и весь	4	2
138	в целях	2	2
139	о его	2	2
140	крайней мере	2	2
141	что его	3	2
142	до сих	3	2
143	и потому	2	2
144	но не	9	2
145	естественно что	2	2
146	но для	3	2
147	объективного мира	3	2
148	смысле слова	7	2
149	еще не	9	2
150	и может	2	2
151	же самое	9	2
152	для того	8	2
153	он и	8	2
154	о своем	2	2
155	если бы	4	2
156	мы имеем	2	2
157	понимать как	2	2
158	в науке	2	2
159	что она	5	2
160	конце концов	4	2
161	и даже	11	2
162	всяком случае	3	2
163	отнюдь не	10	2
164	что для	2	2
165	при помощи	13	2
166	только то	4	2
167	после этого	4	2
168	мы наблюдаем	2	2
169	сих пор	3	2
170	между прочим	2	2
171	во всей	3	2
172	вообще и	4	2
173	а в	4	2
174	еще и	5	2
175	что оно	3	2
176	того чтобы	9	2
177	что такое	6	2
178	и для	4	2
179	по его	2	2
180	можно было	3	2
181	с другими	2	2
182	между собою	7	2
183	тому как	2	2
184	собою и	2	2
185	также и	11	2
186	пока еще	3	2
187	во всяком	7	2
188	хотя и	6	2
189	не о	2	2
190	он в	2	2
191	знаем что	2	2
192	он не	3	2
193	подобно тому	2	2
194	к его	2	2
195	говорить о	6	2
196	что мы	13	2
197	того или	2	2
198	как он	4	2
199	которые в	2	2
200	самый факт	2	2
201	в чем	3	2
202	в которой	2	2
203	в области	2	2
204	же как	2	2
205	в сознании	5	2
206	о чем	6	2
207	но в	14	2
208	значит что	3	2
209	что нет	2	2
