N	2gram	Bakhtin_Pr_5	VelikijI
1	и не	27	20
2	и в	35	16
3	то что	10	9
4	так как	4	9
5	еще не	7	8
6	что они	6	7
7	а не	4	7
8	в мире	4	5
9	хотя и	2	5
10	как бы	31	5
11	но и	14	5
12	все это	14	5
13	того что	3	5
14	в силах	2	4
15	что все	2	4
16	что он	24	4
17	в нем	16	4
18	как и	18	4
19	в котором	3	4
20	так и	8	4
21	что не	4	4
22	потому что	8	4
23	в этом	14	4
24	в ней	2	4
25	говорить о	3	4
26	и все	15	4
27	в его	21	4
28	с его	7	3
29	что в	6	3
30	в этих	2	3
31	в них	4	3
32	в конце	5	3
33	в жизни	2	3
34	ни в	2	3
35	в том	5	3
36	не в	10	3
37	но это	6	3
38	за ним	2	3
39	что я	13	3
40	тот же	4	3
41	к тому	6	3
42	во всех	3	3
43	никогда не	4	3
44	что и	3	3
45	в своей	4	3
46	бы и	2	3
47	тому что	2	3
48	лишь в	7	3
49	и что	6	3
50	хотя бы	2	3
51	и для	8	3
52	должно быть	3	3
53	их в	2	3
54	все эти	3	3
55	что ты	4	3
56	в чем	4	3
57	но в	19	3
58	же ты	2	3
59	с тем	3	2
60	человека как	2	2
61	его и	3	2
62	это не	3	2
63	прежде всего	12	2
64	его к	3	2
65	да и	5	2
66	том что	3	2
67	когда я	5	2
68	от него	6	2
69	но не	6	2
70	в последнем	2	2
71	конечно не	2	2
72	для него	14	2
73	и сам	7	2
74	ивана карамазова	4	2
75	и во	3	2
76	не только	10	2
77	нет и	4	2
78	в форме	3	2
79	с тобой	2	2
80	а с	3	2
81	все равно	2	2
82	тем что	4	2
83	уже не	3	2
84	материалом для	2	2
85	а в	7	2
86	с ним	7	2
87	можно было	2	2
88	и то	5	2
89	между тем	4	2
90	только в	6	2
91	и это	5	2
92	во всяком	4	2
93	а между	3	2
