N	2gram	Berdyaev_N_1	FransuaR
1	и в	16	45
2	и т.п	2	16
3	и не	11	15
4	не только	5	14
5	в этом	7	14
6	но в	2	14
7	во всех	3	13
8	что в	9	12
9	в то	2	11
10	прежде всего	4	10
11	в том	8	10
12	в нем	5	10
13	но и	3	10
14	как и	7	10
15	и с	2	10
16	в ней	5	8
17	жизни и	8	8
18	так же	2	8
19	мира и	2	8
20	с его	6	7
21	том что	2	7
22	не в	6	7
23	все это	5	7
24	в эпоху	9	7
25	потому что	4	7
26	и все	4	7
27	он не	8	6
28	так и	2	6
29	мысли и	2	6
30	того чтобы	2	6
31	в них	4	6
32	и к	5	5
33	это и	2	5
34	но это	6	5
35	хотя и	2	5
36	с ее	5	5
37	не может	16	5
38	все эти	2	5
39	и на	2	5
40	же как	2	4
41	все они	2	4
42	и от	2	4
43	мы не	2	4
44	у него	2	4
45	такой же	2	4
46	но не	2	4
47	по своему	4	4
48	а не	17	4
49	и даже	2	4
50	а в	2	4
51	можно было	2	4
52	сказать что	3	4
53	в основе	3	4
54	с этим	2	4
55	о том	4	4
56	связаны с	2	4
57	и это	2	4
58	как это	2	4
59	это было	3	4
60	не менее	4	3
61	как в	3	3
62	это не	4	3
63	мир и	2	3
64	права и	2	3
65	ни в	6	3
66	по существу	2	3
67	есть в	2	3
68	в своей	3	3
69	вместе с	2	3
70	но она	2	3
71	что она	2	3
72	не было	4	3
73	не имеет	4	3
74	и для	4	3
75	ведь и	2	3
76	с тем	3	2
77	средние века	7	2
78	и есть	10	2
79	жизни в	3	2
80	хотя бы	2	2
81	перестает быть	4	2
82	что все	2	2
83	в духе	3	2
84	к тому	3	2
85	то что	4	2
86	в средние	3	2
87	права на	2	2
88	жизнью в	2	2
89	конечно не	3	2
90	может быть	7	2
91	нет и	2	2
92	должен быть	5	2
93	в истории	3	2
94	свободы и	2	2
95	лишь в	6	2
96	и что	2	2
97	роль в	2	2
98	войны и	2	2
99	духа в	2	2
100	самой жизни	2	2
101	мира а	2	2
