N	2gram	Propp_Morf_1	Myslijsy
1	потому что	3	46
2	в том	6	32
3	и в	13	30
4	может быть	52	28
5	то же	7	23
6	не только	4	21
7	только в	2	21
8	для нас	2	20
9	но и	4	19
10	том что	4	18
11	то что	8	18
12	того что	3	18
13	что в	8	17
14	не в	3	15
15	и не	12	15
16	а не	11	15
17	таким образом	21	14
18	что и	7	13
19	так как	16	13
20	а в	7	12
21	если бы	2	12
22	так и	6	11
23	как и	3	10
24	как в	3	10
25	и что	2	10
26	в этом	14	10
27	в то	3	10
28	было бы	3	9
29	мы не	8	9
30	между тем	5	9
31	от того	3	8
32	только что	2	8
33	что мы	2	8
34	с другой	8	7
35	вовсе не	4	7
36	к тому	4	7
37	как мы	6	7
38	с тем	2	7
39	но не	4	7
40	тем что	4	7
41	но оно	2	6
42	что он	4	6
43	но это	6	6
44	с этим	11	6
45	из них	3	6
46	например в	2	6
47	между собою	2	6
48	то это	3	6
49	не может	14	6
50	уже не	2	6
51	не имеет	2	6
52	не могут	4	5
53	независимо от	3	5
54	в каком	2	5
55	и как	5	5
56	еще не	3	5
57	и тем	2	5
58	отношению к	4	5
59	не менее	5	5
60	по отношению	4	5
61	тому как	5	5
62	сказать что	2	5
63	и т	41	5
64	оно не	2	4
65	форма в	3	4
66	то время	3	4
67	себя и	2	4
68	не все	6	4
69	один из	5	4
70	другой стороны	4	4
71	есть нечто	3	4
72	а и	3	4
73	или же	6	4
74	он не	3	4
75	и наоборот	4	4
76	для того	2	4
77	и по	2	4
78	того как	2	4
79	можно бы	2	4
80	мы должны	3	4
81	в один	3	4
82	далеко не	5	4
83	от другого	2	3
84	не существует	3	3
85	этого не	2	3
86	и есть	2	3
87	могут быть	16	3
88	тому что	4	3
89	прежде всего	9	3
90	должны будем	2	3
91	в образе	4	3
92	к этому	3	3
93	тем не	5	3
94	более или	2	3
95	в последнем	2	3
96	мы можем	2	3
97	что при	2	3
98	можно сказать	2	3
99	вслед за	5	3
100	что она	2	3
101	как бы	3	3
102	из двух	2	3
103	никто не	3	3
104	в целом	3	3
105	на него	3	3
106	со стороны	3	3
107	или менее	2	3
108	т д	39	3
109	тем и	2	3
110	того чтобы	3	3
111	к нему	3	3
112	друг друга	3	3
113	так же	3	3
114	или в	4	3
115	говорить о	3	3
116	в начале	3	3
117	самого себя	2	3
118	его в	2	3
119	в первом	3	3
120	там где	5	3
121	заметить что	8	3
122	в которой	3	3
123	это было	3	3
124	перед нами	10	2
125	во время	6	2
126	если например	2	2
127	прежде чем	3	2
128	но все	3	2
129	об этом	4	2
130	связи с	10	2
131	в какой	3	2
132	первом случае	3	2
133	так например	3	2
134	та же	2	2
135	не всегда	9	2
136	в собственном	3	2
137	на то	2	2
138	на котором	3	2
139	мы видим	13	2
140	в этой	2	2
141	что они	2	2
142	по своему	2	2
143	но как	2	2
144	могла бы	4	2
145	она не	2	2
146	несмотря на	4	2
147	или на	3	2
148	на его	4	2
149	в свое	2	2
150	но мы	3	2
151	все же	7	2
152	же в	2	2
153	собственном смысле	3	2
154	что же	2	2
155	в форме	6	2
156	целый ряд	3	2
157	входит в	2	2
158	тогда как	2	2
159	в других	3	2
160	в виде	2	2
161	а с	2	2
162	это и	2	2
163	самом деле	4	2
164	что такое	3	2
165	в которых	2	2
166	точки зрения	2	2
167	подобно тому	6	2
168	или с	3	2
169	о том	2	2
170	что эта	2	2
