N	2gram	Potebnia_M_1	RusskieA
1	и в	39	29
2	что в	22	22
3	том что	16	22
4	в том	26	22
5	как бы	6	18
6	в других	2	15
7	может быть	27	13
8	так как	21	13
9	там же	9	12
10	как и	9	11
11	в этом	15	11
12	и с	3	10
13	не только	21	10
14	о том	2	9
15	а в	5	9
16	во многих	2	9
17	показывает что	3	8
18	но и	20	8
19	с в	5	8
20	мы видели	4	7
21	как в	10	7
22	или в	2	7
23	с тем	5	6
24	мы не	10	6
25	же в	2	6
26	еще не	6	6
27	для того	3	6
28	для нас	9	6
29	вместе с	8	6
30	таким образом	13	6
31	при этом	6	6
32	того чтобы	2	6
33	потому что	52	5
34	это не	7	5
35	то что	10	5
36	и что	10	5
37	но не	8	5
38	для этого	2	5
39	и т	6	5
40	не может	22	5
41	или же	3	5
42	т д	4	5
43	но в	9	5
44	в них	3	4
45	и все	3	4
46	не все	2	4
47	тогда когда	9	4
48	вопрос о	4	4
49	уже не	2	4
50	так что	16	4
51	не в	15	4
52	том же	2	4
53	так же	5	4
54	то и	7	4
55	то же	6	4
56	у нас	2	4
57	а не	21	4
58	в таком	5	4
59	что по	3	4
60	тем что	9	3
61	в этих	7	3
62	и других	4	3
63	и от	3	3
64	как например	2	3
65	за ним	2	3
66	она не	3	3
67	того что	8	3
68	было бы	12	3
69	и о	2	3
70	но если	2	3
71	не имеет	5	3
72	во всех	5	3
73	в природе	6	3
74	связь с	2	3
75	только тогда	5	3
76	что для	3	3
77	в народе	2	3
78	и по	6	3
79	друг друга	5	3
80	или даже	3	3
81	как мы	2	3
82	тому как	4	3
83	между тем	5	3
84	но он	2	3
85	подобно тому	3	3
86	в этой	3	3
87	в таких	2	3
88	что это	3	3
89	не менее	6	2
90	с этой	2	2
91	связь между	2	2
92	связи с	3	2
93	могут быть	9	2
94	никогда не	4	2
95	по этому	2	2
96	в разные	2	2
97	с другой	7	2
98	в стороне	4	2
99	из этих	4	2
100	он есть	2	2
101	прежде всего	4	2
102	не что	2	2
103	что и	6	2
104	к ней	2	2
105	в г	2	2
106	и как	6	2
107	одним из	2	2
108	и при	3	2
109	чем в	2	2
110	очевидно что	3	2
111	из основных	2	2
112	для них	2	2
113	одной стороны	3	2
114	что на	6	2
115	все то	2	2
116	тем не	6	2
117	из этого	2	2
118	в виду	2	2
119	все же	6	2
120	в своей	3	2
121	все в	2	2
122	после этого	2	2
123	что при	5	2
124	в их	2	2
125	влияние на	2	2
126	тогда как	2	2
127	того как	6	2
128	не было	4	2
129	с одной	3	2
130	в течение	2	2
131	там где	4	2
132	этот вопрос	2	2
133	и для	5	2
134	должно быть	7	2
135	быть только	5	2
136	в своих	4	2
137	и то	3	2
138	о происхождении	8	2
139	с другим	3	2
140	одно из	3	2
141	с этим	7	2
142	таком виде	2	2
143	что иное	2	2
144	во всем	4	2
145	в то	4	2
146	видно что	2	2
147	этой цели	2	2
148	но вместе	2	2
149	когда мы	2	2
150	заметить что	2	2
151	в которой	2	2
152	есть в	2	2
153	иное как	2	2
154	не можем	2	2
