N	2gram	Tiupa_Lite_1	Analitik
1	в тексте	8	24
2	тогда как	13	19
3	в этом	12	18
4	художественного впечатления	2	17
5	в частности	15	16
6	и в	8	16
7	не только	24	16
8	литературного произведения	4	16
9	так и	4	15
10	как и	6	14
11	в том	16	12
12	своего рода	11	12
13	но и	17	12
14	и не	12	12
15	том что	14	12
16	в качестве	17	11
17	могут быть	2	10
18	как бы	7	10
19	при этом	19	10
20	а не	16	10
21	в пределах	3	9
22	лишь в	4	9
23	и даже	3	9
24	в этой	4	9
25	то есть	6	9
26	в данном	5	8
27	отнюдь не	2	8
28	состоит в	11	8
29	уединенного сознания	50	8
30	в целом	8	8
31	и т.п	4	8
32	не случайно	2	8
33	представляет собой	4	8
34	всего лишь	4	8
35	к тому	2	7
36	в себе	7	7
37	художественного целого	2	7
38	то что	10	7
39	о том	2	7
40	а также	5	7
41	с другой	3	6
42	в самом	3	6
43	в мире	2	6
44	факторов художественного	2	6
45	может быть	13	6
46	как это	8	6
47	но в	3	6
48	данном случае	4	5
49	с одной	2	5
50	на себя	2	5
51	не менее	7	4
52	в своем	11	4
53	столь же	4	4
54	в конце	4	4
55	в поле	2	4
56	у него	3	4
57	уже не	7	4
58	тому же	2	4
59	не в	8	4
60	за пределы	2	4
61	читателя в	2	4
62	но не	4	4
63	того же	2	4
64	тем самым	5	4
65	для него	2	4
66	одной стороны	2	4
67	как правило	2	4
68	в сущности	2	4
69	по преимуществу	4	4
70	и является	2	4
71	и тем	4	4
72	отношению к	2	4
73	как в	5	4
74	как раз	4	4
75	по отношению	3	4
76	не может	5	4
77	на этом	2	4
78	и его	4	4
79	то же	5	4
80	коммуникативного события	7	4
81	точки зрения	6	4
82	только в	8	4
83	в сознании	2	4
84	нашего времени	2	4
85	в себя	2	4
86	в рамках	6	3
87	казалось бы	5	3
88	никогда не	4	3
89	своем составе	2	3
90	не столько	5	3
91	одного из	3	3
92	прежде всего	11	3
93	или иной	2	3
94	при всей	3	3
95	тем не	2	3
96	не мог	3	3
97	по поводу	2	3
98	было бы	2	3
99	и сам	6	3
100	несмотря на	3	3
101	из них	4	3
102	со стороны	4	3
103	в их	3	3
104	приводит к	3	3
105	только на	2	3
106	авторитарного сознания	4	3
107	этом отношении	2	3
108	на смену	6	3
109	можно было	2	3
110	а в	3	3
111	тому как	2	3
112	и то	2	3
113	тем что	2	3
114	подобно тому	2	3
115	я в	5	3
116	как будто	2	3
117	сводится к	3	3
118	эстетического объекта	6	3
119	я и	7	3
120	в конечном	5	3
121	художественную реальность	3	2
122	классического реализма	2	2
123	а как	2	2
124	того что	6	2
125	эстетического адресата	2	2
126	обращаясь к	2	2
127	от автора	2	2
128	в случае	4	2
129	и я	6	2
130	для читателя	2	2
131	конечном счете	4	2
132	отличие от	5	2
133	из его	2	2
134	превращается в	2	2
135	внутреннего я	2	2
136	же время	5	2
137	что в	3	2
138	от своего	2	2
139	с их	3	2
140	еще не	4	2
141	такого рода	10	2
142	в своей	4	2
143	еще в	4	2
144	для нее	2	2
145	даже в	2	2
146	один из	3	2
147	не есть	2	2
148	в столь	2	2
149	себя в	6	2
150	в отличие	5	2
151	дело не	2	2
152	всего в	3	2
153	ли не	3	2
154	по выражению	2	2
155	своего другого	3	2
156	в текст	2	2
157	таким образом	3	2
158	той же	3	2
159	с действительностью	2	2
160	объекта и	2	2
161	с точки	2	2
162	роль в	2	2
163	и адресата	4	2
164	оказывается не	2	2
165	между тем	2	2
166	одну из	2	2
167	одно из	3	2
168	и м	2	2
169	он и	3	2
170	с позиции	2	2
171	этого рода	2	2
172	о себе	4	2
173	в то	5	2
174	в его	7	2
175	его в	3	2
176	особого рода	2	2
177	текста как	2	2
