N	2gram	Tiupa_Lite_2	Mirosoze
1	может быть	17	30
2	не только	8	29
3	и в	19	28
4	не может	9	28
5	но и	10	25
6	а не	20	25
7	он не	5	24
8	в этом	9	20
9	не было	2	18
10	у него	2	17
11	не в	4	16
12	потому что	2	16
13	в ней	4	15
14	никогда не	3	14
15	до конца	2	14
16	в нем	3	13
17	человека в	4	13
18	и он	3	12
19	для него	4	11
20	и не	11	11
21	что в	4	10
22	в мире	9	10
23	был бы	2	10
24	во имя	2	10
25	прежде всего	4	10
26	что он	3	10
27	было бы	2	10
28	с тем	2	9
29	в его	4	9
30	и его	3	9
31	но не	5	8
32	быть может	3	7
33	того что	5	7
34	в конце	2	7
35	но в	2	7
36	в себе	6	7
37	в том	10	6
38	в этой	3	6
39	и на	6	6
40	вместе с	5	6
41	у нас	5	5
42	как и	10	5
43	то что	7	5
44	уже в	2	4
45	с этой	2	4
46	не знает	2	4
47	нет в	2	4
48	не к	2	4
49	в их	3	4
50	а в	3	4
51	точки зрения	4	4
52	в них	2	4
53	один из	4	4
54	что и	2	4
55	уже не	2	4
56	тем что	4	4
57	себя и	2	3
58	о себе	3	3
59	для нас	2	3
60	в него	2	3
61	не так	2	3
62	и еще	2	3
63	так как	3	3
64	то есть	5	3
65	и с	3	3
66	на этом	2	3
67	одно из	2	3
68	в жизни	2	3
69	в ее	2	3
70	том что	7	3
71	ничего не	3	3
72	этот путь	3	3
73	себя в	6	3
74	хотя бы	2	3
75	него не	2	2
76	и нет	2	2
77	для того	2	2
78	одним из	3	2
79	в виду	2	2
80	себе и	3	2
81	жизни и	4	2
82	могут быть	2	2
83	в пути	3	2
84	по отношению	4	2
85	быть не	2	2
86	и что	2	2
87	даже и	2	2
88	он и	2	2
89	в начале	3	2
90	в истории	2	2
91	как бы	2	2
92	о том	2	2
93	как он	2	2
94	в россии	2	2
95	с ним	2	2
96	в основе	2	2
97	к этой	2	2
98	нового человека	2	2
99	жизни в	4	2
100	личности в	3	2
101	вокруг которого	2	2
102	отношению к	3	2
103	в то	9	2
104	все что	2	2
105	ведь это	2	2
106	и к	2	2
107	еще в	4	2
108	все же	2	2
109	мысли и	2	2
110	и как	3	2
111	и для	3	2
