N	2gram	Propp_Isto_3	VLabPisa
1	таким образом	10	27
2	в этом	17	26
3	и в	22	25
4	и т	16	24
5	не только	14	22
6	может быть	11	21
7	и не	12	19
8	т е	16	17
9	не может	4	17
10	в его	3	15
11	т д	15	15
12	прежде всего	3	13
13	в том	9	13
14	в частности	5	12
15	как это	4	12
16	с другой	7	11
17	в силу	2	11
18	из них	7	11
19	в качестве	2	10
20	о том	3	10
21	к этому	7	9
22	что в	15	9
23	и др	2	9
24	но и	12	9
25	то же	6	9
26	говорит и	2	8
27	все эти	4	8
28	в своем	2	8
29	другой стороны	7	8
30	могут быть	5	8
31	ни один	2	8
32	из этих	3	7
33	же в	2	7
34	как и	3	7
35	том что	8	7
36	было бы	3	7
37	отношению к	2	7
38	вместе с	9	7
39	по отношению	2	7
40	не было	2	7
41	а не	6	7
42	у него	3	6
43	это не	6	6
44	то что	7	6
45	в нем	9	6
46	так и	2	6
47	и его	4	6
48	их в	3	6
49	между тем	2	6
50	в то	2	6
51	все же	5	5
52	в пределах	4	5
53	связи с	6	5
54	и есть	2	5
55	одним из	4	5
56	один из	5	5
57	сказать что	3	5
58	только в	4	5
59	не в	4	5
60	к тому	3	4
61	никогда не	3	4
62	их и	3	4
63	равно как	3	4
64	в одном	2	4
65	в целом	3	4
66	что он	9	4
67	можно сказать	2	4
68	одна из	2	4
69	даже в	2	4
70	в них	6	4
71	в связи	3	4
72	вот почему	2	4
73	с ними	3	4
74	в этой	5	4
75	утверждать что	2	4
76	это делает	2	3
77	и к	3	3
78	во время	6	3
79	всех этих	2	3
80	и ее	3	3
81	с тем	2	3
82	и как	3	3
83	и от	3	3
84	одном из	3	3
85	мы знаем	2	3
86	у нас	4	3
87	мы видели	13	3
88	что они	8	3
89	видели что	4	3
90	или в	11	3
91	с этим	8	3
92	что не	2	3
93	например в	2	3
94	следующим образом	3	3
95	далеко не	3	3
96	и он	2	3
97	в котором	2	3
98	его в	3	3
99	что и	9	3
100	жизни и	2	3
101	ее в	3	3
102	образом в	2	3
103	этот вопрос	2	3
104	имеет свою	3	3
105	того что	5	3
106	так же	3	3
107	его не	3	3
108	можно утверждать	2	3
109	в работе	2	3
110	в которых	2	3
111	точки зрения	2	3
112	она не	4	3
113	из приведенных	3	3
114	не менее	5	2
115	в самых	2	2
116	только не	2	2
117	можно ли	3	2
118	связана с	3	2
119	не всегда	4	2
120	в жизни	2	2
121	вовсе не	2	2
122	роль в	2	2
123	нет никаких	2	2
124	показывает что	5	2
125	стороны и	3	2
126	от них	3	2
127	а затем	3	2
128	связанное с	2	2
129	ли это	2	2
130	до сих	5	2
131	и потому	2	2
132	но не	7	2
133	они и	3	2
134	еще не	10	2
135	одной стороны	2	2
136	он и	3	2
137	то это	2	2
138	если бы	6	2
139	мы имеем	19	2
140	сообщает о	2	2
141	в ней	2	2
142	что она	5	2
143	относится к	2	2
144	и даже	2	2
145	не вполне	6	2
146	всяком случае	2	2
147	при помощи	3	2
148	после этого	2	2
149	сих пор	5	2
150	между прочим	3	2
151	даже не	2	2
152	а в	6	2
153	в особенности	2	2
154	с одной	2	2
155	в течение	6	2
156	и некоторые	2	2
157	и для	2	2
158	во всяком	2	2
159	хотя и	2	2
160	знаем что	2	2
161	он не	5	2
162	они не	4	2
163	в другом	2	2
164	ту же	2	2
165	на это	2	2
166	в чем	3	2
167	же как	2	2
168	но в	10	2
