N	2gram	Propp_Morf_1	Analitik
1	не только	4	22
2	тогда как	2	20
3	и в	13	18
4	как и	3	14
5	так и	6	14
6	в этом	14	14
7	но и	4	13
8	в частности	2	12
9	том что	4	12
10	в качестве	5	12
11	и не	12	12
12	а в	7	10
13	как бы	3	10
14	может быть	52	9
15	со стороны	3	9
16	что в	8	9
17	а не	11	9
18	в том	6	9
19	с его	2	8
20	с другой	8	7
21	но не	4	7
22	отношению к	4	7
23	по отношению	4	7
24	к тому	4	6
25	не в	3	6
26	в начале	3	6
27	еще не	3	6
28	в этой	2	6
29	он не	3	6
30	о том	2	6
31	однако в	2	5
32	не является	3	5
33	прежде всего	9	5
34	что и	7	5
35	другой стороны	4	5
36	в сущности	3	5
37	а а	2	5
38	уже не	2	5
39	в результате	7	5
40	между тем	5	5
41	мы имеем	9	5
42	представляет собой	17	5
43	не менее	5	4
44	перед нами	10	4
45	состоит в	2	4
46	в итоге	2	4
47	что он	4	4
48	можно сказать	2	4
49	и к	4	4
50	и как	5	4
51	во втором	3	4
52	в пределах	3	4
53	все же	7	4
54	приводит к	2	4
55	а и	3	4
56	таким образом	21	4
57	далеко не	5	4
58	к этому	3	3
59	не всегда	9	3
60	что они	2	3
61	было бы	3	3
62	лишь на	2	3
63	если в	5	3
64	в целом	3	3
65	дело не	2	3
66	как в	3	3
67	который в	2	3
68	то же	7	3
69	путь к	2	3
70	мы не	8	3
71	ничего не	4	3
72	с этим	11	3
73	точки зрения	2	3
74	подобно тому	6	3
75	но как	2	3
76	говорить о	3	3
77	в то	3	3
78	его в	2	3
79	здесь не	2	3
80	как это	3	3
81	могут быть	16	2
82	все эти	2	2
83	это не	6	2
84	можно отметить	2	2
85	как уже	2	2
86	и ее	3	2
87	в тех	6	2
88	несмотря на	4	2
89	тем не	5	2
90	же в	2	2
91	то в	3	2
92	одна из	4	2
93	с тем	2	2
94	по своему	2	2
95	в глаза	2	2
96	в большинстве	3	2
97	это и	2	2
98	не от	2	2
99	например в	2	2
100	на его	4	2
101	хотя и	3	2
102	об этом	4	2
103	а также	4	2
104	всяком случае	2	2
105	один из	5	2
106	не с	2	2
107	то что	8	2
108	в первом	3	2
109	во всех	4	2
110	что она	2	2
111	в форме	6	2
112	не может	14	2
113	входит в	2	2
114	самом деле	4	2
115	с точки	2	2
116	и по	2	2
117	и для	2	2
118	после чего	2	2
119	тому как	5	2
120	на пути	4	2
121	сказать что	2	2
122	во всяком	2	2
123	мы можем	2	2
124	тем что	4	2
125	и здесь	5	2
126	могла бы	4	2
127	что мы	2	2
128	только в	2	2
129	в свое	2	2
130	пока же	4	2
131	там где	5	2
132	но в	2	2
