N	2gram	Losev_Dial_2	DiskursI
1	в себе	15	19
2	при этом	4	17
3	и в	19	16
4	может быть	20	16
5	как и	10	16
6	в этом	8	16
7	и не	30	15
8	а не	16	14
9	в частности	2	12
10	в мире	2	11
11	но и	12	11
12	но в	2	11
13	том что	10	10
14	не только	19	10
15	так и	10	9
16	не может	9	9
17	в том	14	8
18	как в	2	8
19	не менее	3	7
20	прежде всего	8	7
21	в нем	10	7
22	ни в	10	7
23	но не	6	7
24	в данном	3	7
25	отнюдь не	6	6
26	себя в	2	6
27	еще не	4	6
28	все же	4	6
29	в своей	8	6
30	данном случае	2	6
31	то же	12	6
32	в своих	2	6
33	по своей	4	6
34	в противоположность	2	5
35	что в	7	5
36	в своем	4	5
37	с другой	5	5
38	же время	5	5
39	то что	14	5
40	в то	6	5
41	в одном	4	4
42	как бы	14	4
43	времени в	2	4
44	с одной	2	4
45	потому что	14	4
46	одно из	4	4
47	точки зрения	12	4
48	в этой	3	4
49	и то	7	4
50	о том	5	4
51	я и	2	4
52	перед нами	2	3
53	и может	6	3
54	могут быть	4	3
55	в этих	3	3
56	это не	10	3
57	и все	12	3
58	становления и	3	3
59	уже не	3	3
60	и как	10	3
61	не в	8	3
62	можно сказать	5	3
63	например в	2	3
64	он не	4	3
65	той или	4	3
66	в становлении	2	3
67	мире и	2	3
68	из них	3	3
69	жизни и	6	3
70	не было	3	3
71	все эти	2	3
72	также и	2	3
73	и его	5	3
74	но это	7	3
75	в другом	4	3
76	как будто	7	3
77	только в	5	3
78	его в	3	3
79	содержит в	4	2
80	же как	3	2
81	неотделим от	3	2
82	никогда не	9	2
83	а потом	4	2
84	у пушкина	2	2
85	личности в	8	2
86	момент в	2	2
87	что на	2	2
88	в той	3	2
89	что он	6	2
90	есть в	2	2
91	времени и	9	2
92	должна быть	5	2
93	одно и	4	2
94	это еще	2	2
95	о чем	3	2
96	в ней	2	2
97	что и	5	2
98	с ее	2	2
99	с точки	8	2
100	вместе с	2	2
101	что же	2	2
102	человеческой жизни	2	2
103	и прежде	2	2
104	не на	2	2
105	того и	2	2
106	может и	2	2
107	именно в	2	2
108	все это	4	2
109	другой стороны	4	2
110	должно быть	7	2
111	а в	4	2
112	тут же	4	2
113	в результате	2	2
114	их в	2	2
115	и с	5	2
116	может иметь	3	2
117	реальности и	2	2
118	говорить о	5	2
119	или по	2	2
120	и это	5	2
121	в области	2	2
122	мы имеем	3	2
123	между тем	2	2
