N	2gram	Nazirov_Tr_1	Marksizm
1	может быть	7	28
2	и в	18	19
3	как бы	7	19
4	и не	7	19
5	не может	5	18
6	то же	5	16
7	и его	6	16
8	в этом	9	15
9	не только	8	13
10	в нем	4	11
11	не в	2	10
12	но и	4	10
13	том что	4	10
14	так и	5	10
15	для него	3	9
16	при этом	3	9
17	как и	5	9
18	отнюдь не	3	8
19	же время	6	8
20	в то	5	8
21	с его	2	8
22	никогда не	2	7
23	в том	2	7
24	его в	2	7
25	но в	6	7
26	прежде всего	4	7
27	одна из	2	7
28	в таком	2	7
29	к тому	2	6
30	ни в	2	6
31	и как	3	6
32	в самом	2	6
33	и все	4	6
34	к нему	3	5
35	так же	4	5
36	и на	7	5
37	и здесь	2	5
38	в его	3	5
39	все же	5	5
40	в данном	2	5
41	в душе	2	4
42	это не	5	4
43	то что	4	4
44	в русском	2	4
45	а как	2	4
46	что он	6	4
47	в основном	3	4
48	и ее	2	4
49	в себе	4	4
50	ничего не	2	4
51	перед нами	2	3
52	столь же	2	3
53	в этой	4	3
54	если б	2	3
55	все эти	3	3
56	не имеет	2	3
57	должно быть	3	3
58	о том	2	3
59	в ее	2	3
60	еще не	4	3
61	он не	2	3
62	и до	2	3
63	что и	2	3
64	в отличие	2	3
65	и то	2	3
66	и это	2	3
67	отличие от	2	3
68	уже в	3	2
69	что в	4	2
70	что это	5	2
71	вопрос о	2	2
72	он был	2	2
73	до конца	2	2
74	о чем	3	2
75	не так	2	2
76	в своем	3	2
77	и даже	4	2
78	друг друга	2	2
79	и с	7	2
80	он и	2	2
81	то есть	3	2
82	но они	2	2
83	у него	6	2
84	и он	3	2
85	тем что	2	2
86	в виде	2	2
