N	2gram	Bakhtin_fo_2	Morfolog
1	может быть	7	52
2	и т	14	49
3	т д	3	47
4	и пр	2	40
5	таким образом	3	20
6	не может	2	17
7	в этих	3	16
8	могут быть	2	15
9	с этим	5	14
10	и в	46	13
11	в этом	22	13
12	и др	5	12
13	так как	6	12
14	мы видим	2	11
15	связи с	8	11
16	прежде всего	14	9
17	этом случае	2	9
18	так и	7	9
19	в связи	8	9
20	то же	8	9
21	и не	9	9
22	а не	4	9
23	мы имеем	2	9
24	с другой	2	8
25	а затем	3	8
26	по существу	5	8
27	что и	3	8
28	в качестве	3	7
29	все же	6	7
30	имеем в	3	7
31	это не	2	6
32	в том	10	6
33	но не	5	6
34	а также	3	6
35	в форме	3	6
36	а в	3	6
37	во время	10	6
38	и другие	3	5
39	в море	3	5
40	в образе	4	5
41	наряду с	2	5
42	во всех	11	5
43	далеко не	2	5
44	как бы	10	5
45	один из	2	5
46	то что	7	5
47	сюда же	2	5
48	потому что	8	5
49	и затем	2	4
50	что в	5	4
51	и как	3	4
52	на котором	2	4
53	вовсе не	13	4
54	очень часто	2	4
55	было бы	2	4
56	не только	11	4
57	в некоторых	2	4
58	как в	4	4
59	как мы	6	4
60	так же	2	4
61	как и	8	4
62	там где	2	4
63	хотя и	3	4
64	тем что	3	4
65	точки зрения	10	4
66	с точки	8	4
67	на этом	2	4
68	также и	4	4
69	его в	6	4
70	если в	2	4
71	прежде чем	3	3
72	вступают в	2	3
73	в последнем	2	3
74	же в	4	3
75	том что	4	3
76	но это	2	3
77	что они	4	3
78	форма в	2	3
79	кроме того	3	3
80	в пределах	5	3
81	того чтобы	8	3
82	в сущности	2	3
83	он не	5	3
84	не является	3	3
85	но и	9	3
86	целый ряд	3	3
87	и по	3	3
88	и для	9	3
89	из них	8	3
90	в то	5	3
91	но в	10	3
92	значит что	2	3
93	совсем не	2	2
94	и более	2	2
95	с тем	2	2
96	в частности	5	2
97	та же	3	2
98	к этому	3	2
99	как уже	3	2
100	что он	3	2
101	можно сказать	2	2
102	и к	2	2
103	на первый	3	2
104	то в	2	2
105	только в	11	2
106	а на	2	2
107	в большинстве	3	2
108	есть и	4	2
109	смысле слова	2	2
110	для него	3	2
111	мы уже	9	2
112	себя и	3	2
113	эти формы	2	2
114	быть и	2	2
115	но эти	3	2
116	и только	2	2
117	с одной	2	2
118	все эти	5	2
119	дается в	2	2
120	другой пример	3	2
121	к себе	4	2
122	того что	3	2
123	для того	8	2
124	уже не	3	2
125	тем же	2	2
126	и его	12	2
127	друг на	2	2
128	на друга	2	2
129	в другом	3	2
130	не знает	2	2
131	о том	4	2
132	здесь не	2	2
133	но здесь	2	2
134	большинстве случаев	3	2
135	как это	2	2
