N	2gram	Medvedev_V_1	Literetu
1	и не	19	22
2	и в	26	16
3	не только	25	14
4	но и	10	14
5	в этом	26	14
6	а не	7	12
7	то что	6	12
8	может быть	22	12
9	в том	15	12
10	в частности	11	11
11	не в	6	10
12	то же	10	9
13	так и	5	9
14	того что	3	9
15	в то	6	9
16	в жизни	2	8
17	том что	8	8
18	не может	17	8
19	в этой	4	8
20	как бы	5	8
21	в своей	4	7
22	же время	5	7
23	точки зрения	3	7
24	только в	7	7
25	с его	3	6
26	с другой	11	6
27	к тому	4	6
28	еще не	2	6
29	в его	14	6
30	и его	6	6
31	в себе	6	6
32	в другом	2	6
33	о том	10	6
34	в качестве	11	5
35	это не	7	5
36	в году	6	5
37	что он	4	5
38	в ее	4	5
39	как и	7	5
40	лишь в	2	5
41	в целом	4	5
42	вместе с	7	5
43	а в	3	5
44	этом отношении	13	5
45	именно в	2	5
46	всего лишь	3	5
47	но не	2	4
48	никогда не	4	4
49	даже в	5	4
50	по существу	3	4
51	как у	2	4
52	одной стороны	2	4
53	и для	2	4
54	одним из	5	4
55	хотя и	2	4
56	отношению к	7	4
57	из них	9	4
58	художника в	6	4
59	по отношению	7	4
60	с одной	2	4
61	должно быть	2	4
62	в одном	4	4
63	произведения в	7	3
64	том числе	2	3
65	для его	4	3
66	в единстве	4	3
67	отнюдь не	3	3
68	прежде всего	13	3
69	а затем	2	3
70	в романе	4	3
71	и как	3	3
72	о чем	2	3
73	например в	3	3
74	и к	3	3
75	в самом	4	3
76	вслед за	2	3
77	в слове	3	3
78	жизни и	3	3
79	бы и	6	3
80	и наконец	2	3
81	как на	3	3
82	тому как	2	3
83	как это	12	3
84	в области	2	3
85	но в	2	3
86	между тем	5	3
87	в творческом	2	2
88	в противоположность	3	2
89	художественного произведения	6	2
90	что в	10	2
91	не менее	2	2
92	если бы	3	2
93	все они	2	2
94	что у	2	2
95	как о	2	2
96	в конце	3	2
97	искусство как	2	2
98	к этому	9	2
99	по себе	2	2
100	стороны и	2	2
101	или иной	2	2
102	в нем	6	2
103	и ее	4	2
104	же в	6	2
105	у нас	2	2
106	и при	5	2
107	связи с	4	2
108	художественного творчества	18	2
109	числе и	2	2
110	художественное творчество	6	2
111	из рассказа	2	2
112	для него	8	2
113	можно сказать	4	2
114	было бы	7	2
115	что не	3	2
116	во всех	6	2
117	том чтобы	2	2
118	вплоть до	2	2
119	в работе	3	2
120	не вполне	2	2
121	удивительно что	3	2
122	один из	5	2
123	то это	2	2
124	что и	3	2
125	не удивительно	4	2
126	все же	5	2
127	художника и	7	2
128	когда он	3	2
129	во всей	2	2
130	так же	3	2
131	как раз	3	2
132	как например	2	2
133	художественное произведение	5	2
134	еще и	2	2
135	что художник	3	2
136	но с	2	2
137	человека в	2	2
138	того чтобы	3	2
139	для того	3	2
140	другой стороны	8	2
141	и даже	2	2
142	с ними	4	2
143	в своих	2	2
144	подобно тому	2	2
145	далеко не	2	2
146	он и	2	2
147	же самое	2	2
148	его в	3	2
149	и потому	2	2
150	мира и	3	2
151	ее в	4	2
152	одном из	3	2
