N	2gram	Voloshinov_1	Literetu
1	и не	16	22
2	и в	15	16
3	при этом	7	15
4	не только	5	14
5	но и	4	14
6	в этом	13	14
7	а не	2	12
8	то что	10	12
9	может быть	13	12
10	в том	4	12
11	хх века	2	11
12	не в	4	10
13	я и	6	10
14	то же	7	9
15	так и	10	9
16	того что	2	9
17	в то	6	9
18	в жизни	5	8
19	том что	5	8
20	не может	13	8
21	к себе	3	8
22	в этой	5	8
23	как бы	11	8
24	в своей	9	7
25	же время	5	7
26	себя в	2	7
27	со стороны	2	7
28	точки зрения	13	7
29	только в	6	7
30	с его	8	6
31	к тому	4	6
32	еще не	7	6
33	в его	9	6
34	и т.п	2	6
35	и его	15	6
36	в себе	4	6
37	в качестве	2	5
38	это не	2	5
39	что он	8	5
40	в ее	4	5
41	как и	6	5
42	в целом	2	5
43	вместе с	4	5
44	как в	3	5
45	а в	6	5
46	этом отношении	2	5
47	именно в	3	5
48	в основе	3	5
49	но не	5	4
50	никогда не	7	4
51	до конца	5	4
52	и для	2	4
53	одним из	3	4
54	отношению к	9	4
55	данном случае	3	4
56	по отношению	11	4
57	жизни в	3	4
58	должно быть	2	4
59	в данном	3	4
60	одно из	3	4
61	в одном	3	4
62	все время	4	3
63	отнюдь не	2	3
64	прежде всего	11	3
65	более того	2	3
66	в г	3	3
67	совершенно не	2	3
68	и к	7	3
69	в самом	6	3
70	с ее	3	3
71	жизни и	5	3
72	бы и	2	3
73	это как	3	3
74	уже не	5	3
75	самом деле	7	3
76	и наконец	10	3
77	с точки	10	3
78	как на	3	3
79	той же	2	3
80	потому что	4	3
81	отношения к	2	3
82	в области	3	3
83	но в	9	3
84	между тем	2	3
85	сознания и	5	2
86	что в	6	2
87	с чувством	2	2
88	не менее	3	2
89	если бы	3	2
90	сознания с	5	2
91	все они	2	2
92	жизни к	3	2
93	оно не	2	2
94	я не	3	2
95	к этому	7	2
96	не всегда	4	2
97	по себе	2	2
98	в нем	4	2
99	и ее	3	2
100	у нас	3	2
101	и при	3	2
102	художественное творчество	2	2
103	во втором	3	2
104	в свою	2	2
105	для него	5	2
106	можно сказать	4	2
107	было бы	6	2
108	со всеми	3	2
109	во всех	8	2
110	себя и	3	2
111	один из	4	2
112	что и	2	2
113	все же	5	2
114	отношение к	7	2
115	во второй	5	2
116	время в	2	2
117	как мы	10	2
118	как раз	2	2
119	в нас	2	2
120	и только	4	2
121	в совершенно	2	2
122	человека в	3	2
123	из того	2	2
124	и вот	6	2
125	целом и	2	2
126	того чтобы	2	2
127	о которой	2	2
128	и даже	2	2
129	с ними	4	2
130	в своих	4	2
131	и на	3	2
132	мы и	4	2
133	и с	7	2
134	далеко не	4	2
135	на себя	2	2
136	он и	2	2
137	не знает	3	2
138	его в	8	2
139	в первом	2	2
140	и потому	8	2
141	в глубине	2	2
142	ее в	2	2
