N	2gram	Vinokur_St_2	Vvedenie
1	и т	9	42
2	т д	6	36
3	т е	10	35
4	и в	29	32
5	в том	27	31
6	в этом	21	30
7	может быть	2	26
8	том что	27	26
9	не только	19	22
10	для того	7	21
11	того чтобы	6	20
12	таким образом	10	19
13	также и	2	18
14	то что	11	16
15	потому что	9	15
16	так как	2	15
17	но также	4	14
18	не может	2	14
19	в самом	7	13
20	в нем	4	13
21	о том	17	13
22	со стороны	2	13
23	того что	5	12
24	в общем	3	12
25	в их	3	12
26	и не	9	12
27	как на	9	12
28	в его	13	12
29	только в	2	12
30	что такое	2	11
31	и именно	3	11
32	в ее	2	11
33	в данном	2	11
34	что в	19	10
35	но в	8	9
36	и как	2	9
37	в истории	2	9
38	между тем	5	9
39	по себе	3	9
40	то же	2	9
41	в той	5	9
42	не менее	3	8
43	с другой	4	8
44	тем не	2	8
45	не в	4	8
46	именно в	4	8
47	прежде всего	5	7
48	вопрос о	6	7
49	точки зрения	5	7
50	но не	3	7
51	было бы	5	7
52	все же	6	7
53	самом деле	3	7
54	до сих	6	6
55	к истории	2	6
56	но и	19	6
57	все это	11	6
58	и даже	3	6
59	в то	2	6
60	его в	2	6
61	как он	2	6
62	с тем	7	6
63	вовсе не	6	6
64	как и	2	6
65	в качестве	5	6
66	работы над	4	6
67	сих пор	5	6
68	хотя бы	3	6
69	и его	6	6
70	этот вопрос	2	6
71	тем что	3	6
72	и это	2	6
73	в какой	2	5
74	так что	3	5
75	так например	7	5
76	на этот	2	5
77	как бы	5	5
78	а как	4	5
79	другой стороны	3	5
80	одним из	6	5
81	сказать что	2	5
82	мере в	2	5
83	в них	2	5
84	как например	2	5
85	той мере	2	5
86	об этом	6	5
87	в г	7	5
88	по своему	2	5
89	на почве	2	5
90	вместе с	7	5
91	т п	3	5
92	в течение	6	5
93	а не	5	5
94	на вопрос	3	4
95	с этой	2	4
96	времени и	4	4
97	о чем	5	4
98	всяком случае	3	4
99	в котором	7	4
100	в особенности	2	4
101	этом отношении	9	4
102	еще и	3	4
103	и что	6	4
104	в и	13	4
105	не имеет	2	4
106	как это	2	4
107	в чисто	2	4
108	должен был	4	4
109	нельзя не	3	4
110	что он	13	4
111	в своей	7	4
112	только что	2	4
113	внимание на	4	4
114	как раз	8	4
115	истории и	2	4
116	во всяком	3	4
117	в себе	2	4
118	только с	2	4
119	что это	3	3
120	в частности	4	3
121	в этих	3	3
122	вообще не	3	3
123	в конце	2	3
124	раньше чем	4	3
125	к тому	10	3
126	только по	2	3
127	но все	7	3
128	в этой	2	3
129	что с	2	3
130	до конца	3	3
131	при этом	2	3
132	такого рода	2	3
133	хотя и	4	3
134	в ней	7	3
135	в виду	7	3
136	из них	3	3
137	дело не	2	3
138	отношений между	3	3
139	в своем	9	3
140	все эти	2	3
141	так же	3	3
142	и на	6	3
143	в результате	2	3
144	языка в	2	3
145	в начале	3	3
146	при помощи	4	3
147	на нее	3	3
148	свое выражение	2	3
149	уже после	2	3
150	в известном	3	3
151	есть еще	2	3
152	если бы	2	3
153	к этому	4	3
154	и к	4	3
155	материал для	3	3
156	говорит о	2	3
157	связи с	4	3
158	одной из	3	3
159	в одном	6	3
160	а также	2	3
161	что и	2	3
162	дело в	4	3
163	своего рода	5	3
164	но с	4	3
165	в каком	2	3
166	и вообще	2	3
167	в области	2	3
168	не до	2	2
169	же как	3	2
170	до того	4	2
171	на рубеже	3	2
172	и другие	2	2
173	никогда не	3	2
174	тому что	7	2
175	в отношении	2	2
176	это еще	2	2
177	из его	2	2
178	но это	3	2
179	и сам	2	2
180	несмотря на	2	2
181	обратить внимание	5	2
182	и др	2	2
183	не к	2	2
184	во внимание	2	2
185	не было	3	2
186	не мог	3	2
187	принять во	2	2
188	по его	3	2
189	которой в	2	2
190	и те	2	2
191	не столько	7	2
192	и с	4	2
193	с этим	3	2
194	и здесь	3	2
195	искусства и	2	2
196	так и	9	2
197	в содержании	2	2
198	по этому	2	2
199	что собственно	2	2
200	о которых	2	2
201	у нас	3	2
202	по существу	2	2
203	должна была	2	2
204	того же	2	2
205	ни с	2	2
206	том же	2	2
207	по их	2	2
208	вряд ли	3	2
209	в языке	5	2
210	этому поводу	2	2
211	сомнений в	2	2
212	тогда как	2	2
213	того как	7	2
214	например что	2	2
215	и сейчас	3	2
216	в значительной	2	2
217	в печати	4	2
218	с точки	2	2
219	другое дело	3	2
220	другом месте	2	2
221	ко времени	2	2
222	выражение в	2	2
223	в другом	4	2
224	ничего не	4	2
225	не могли	2	2
