N	2gram	Tiupa_Anal_1	Istorich
1	и в	18	25
2	что он	3	22
3	вместе с	4	22
4	и т	3	20
5	может быть	29	17
6	мы имеем	6	14
7	не только	15	13
8	но и	17	13
9	в его	13	12
10	и не	21	11
11	уже не	4	11
12	так как	2	11
13	все же	4	10
14	в этом	13	10
15	с другой	4	9
16	и его	5	9
17	таким образом	3	9
18	героя в	2	9
19	что в	5	8
20	том что	12	8
21	еще не	3	8
22	другой стороны	2	8
23	все эти	2	8
24	и на	5	8
25	в частности	19	7
26	в качестве	31	7
27	как и	13	7
28	то что	6	7
29	одной стороны	3	7
30	в нем	3	7
31	при помощи	2	7
32	с одной	3	7
33	потому что	2	7
34	представляет собой	16	7
35	только в	6	7
36	о том	5	7
37	это не	6	6
38	прежде всего	6	6
39	что и	3	6
40	себя в	6	6
41	не может	22	6
42	не в	14	6
43	могут быть	4	6
44	в том	27	6
45	как мы	2	5
46	но не	10	5
47	не всегда	4	4
48	с другими	4	4
49	в пределах	2	4
50	а именно	3	4
51	то же	9	4
52	он не	3	4
53	в которой	2	4
54	с ним	4	4
55	никогда не	2	3
56	и как	5	3
57	и все	3	3
58	в целом	5	3
59	в этой	5	3
60	в то	9	3
61	в себя	6	3
62	того чтобы	3	3
63	в роли	2	3
64	о нем	3	3
65	если в	3	3
66	на себя	2	3
67	представляют собой	2	3
68	на этом	2	3
69	для того	4	3
70	к нему	3	3
71	а в	9	3
72	его к	2	3
73	в данном	2	3
74	и с	2	3
75	никто не	3	3
76	ли он	2	2
77	он может	2	2
78	его и	2	2
79	тогда когда	2	2
80	вовсе не	2	2
81	а как	2	2
82	вопрос о	2	2
83	по себе	4	2
84	не исключают	2	2
85	можно сказать	2	2
86	такой же	2	2
87	того же	4	2
88	и сам	2	2
89	несмотря на	2	2
90	если бы	3	2
91	из которых	4	2
92	от себя	3	2
93	одним из	3	2
94	как бы	5	2
95	и потому	2	2
96	еще в	2	2
97	даже в	3	2
98	один из	2	2
99	должен быть	6	2
100	в своей	6	2
101	отношению к	5	2
102	том чтобы	7	2
103	данном случае	2	2
104	со стороны	2	2
105	ним и	2	2
106	означает что	3	2
107	по отношению	6	2
108	самом деле	2	2
109	а не	17	2
110	того что	4	2
111	и по	2	2
112	роль в	2	2
113	то в	2	2
114	точки зрения	6	2
115	что мы	3	2
116	из них	2	2
117	в свое	2	2
118	особенно в	2	2
119	до его	2	2
