N	2gram	Tiupa_Vved_1	Psycholo
1	то что	6	44
2	и в	13	33
3	в этом	21	28
4	как бы	4	25
5	потому что	5	24
6	может быть	18	22
7	том что	7	22
8	что в	3	21
9	в том	10	21
10	о том	5	20
11	таким образом	4	13
12	и не	12	13
13	то есть	8	13
14	к тому	6	12
15	в самом	2	12
16	и все	4	12
17	было бы	4	12
18	самом деле	3	12
19	он не	3	11
20	не может	7	10
21	в его	4	10
22	если бы	7	10
23	по себе	2	9
24	как раз	2	9
25	то же	5	9
26	в рассказе	6	8
27	как будто	4	8
28	в своем	5	7
29	для нас	2	7
30	до конца	3	7
31	в нем	5	7
32	не только	20	7
33	перед нами	6	6
34	это не	6	6
35	в ней	4	6
36	что мы	2	6
37	никак не	2	6
38	на самом	4	6
39	а не	15	6
40	в себе	5	6
41	никогда не	4	5
42	в какой	4	5
43	в целом	3	5
44	целый ряд	2	5
45	мы не	4	5
46	и на	3	5
47	как он	2	5
48	с ним	3	5
49	мы можем	2	5
50	как и	11	5
51	и его	5	5
52	все же	6	5
53	в частности	13	4
54	том чтобы	2	4
55	жизни и	7	4
56	от этих	2	4
57	а в	6	4
58	того что	6	4
59	в жизни	4	4
60	к этому	2	4
61	об этом	4	4
62	одна из	4	4
63	в своей	5	4
64	на него	2	4
65	как мы	3	4
66	можно было	2	4
67	по поводу	2	4
68	исходя из	2	4
69	могла бы	3	4
70	только в	6	4
71	с одной	5	3
72	обратиться к	2	3
73	в мире	8	3
74	тому же	4	3
75	не можем	2	3
76	в пределах	2	3
77	одной стороны	5	3
78	например в	2	3
79	вслед за	2	3
80	обратимся к	2	3
81	но и	19	3
82	не было	2	3
83	и опять	2	3
84	в своих	2	3
85	их в	2	3
86	в то	4	3
87	могло бы	3	3
88	том как	3	3
89	в основе	3	3
90	говорить о	2	3
91	этих событий	2	3
92	но не	5	3
93	ли это	2	3
94	что и	2	3
95	так и	8	3
96	как в	4	3
97	дело с	2	3
98	тем самым	5	3
99	и для	3	3
100	тем что	2	3
101	далеко не	4	3
102	в той	4	3
103	не сумел	2	3
104	место в	2	2
105	бы и	4	2
106	с другой	5	2
107	в одной	2	2
108	и от	2	2
109	из этих	3	2
110	прежде всего	7	2
111	времени и	7	2
112	же время	3	2
113	при этом	26	2
114	вместо того	2	2
115	в котором	8	2
116	не является	3	2
117	точка зрения	3	2
118	один из	3	2
119	о них	3	2
120	все они	2	2
121	другой стороны	2	2
122	быть не	4	2
123	те же	2	2
124	и наконец	2	2
125	не имеет	2	2
126	о ней	4	2
127	в результате	3	2
128	и с	2	2
129	также и	4	2
130	не в	6	2
131	бы не	2	2
132	мы имеем	5	2
133	но в	6	2
134	повествования и	3	2
135	в них	2	2
136	что касается	5	2
137	это время	2	2
138	и к	2	2
139	представляет собой	15	2
140	а на	2	2
141	можно сказать	4	2
142	во всех	2	2
143	иначе говоря	6	2
144	не все	2	2
145	принадлежит к	3	2
146	со стороны	5	2
147	внимание на	3	2
148	а с	2	2
149	сводится к	4	2
150	тому как	2	2
151	между двумя	3	2
152	героя и	3	2
153	едва ли	3	2
