N	2gram	Vinokur_St_3	EvropaiE
1	и в	25	37
2	в отношении	2	32
3	точки зрения	7	23
4	что в	19	21
5	не только	12	18
6	с точки	4	17
7	в то	7	16
8	то же	5	15
9	в качестве	4	14
10	же время	3	14
11	но и	9	14
12	и не	10	14
13	но в	5	14
14	в этом	24	12
15	в их	3	11
16	в том	20	11
17	в области	6	11
18	так и	5	10
19	прежде всего	10	9
20	в смысле	4	9
21	все более	2	9
22	не может	7	9
23	т е	8	9
24	только в	6	9
25	к тому	2	8
26	одной стороны	3	8
27	было бы	7	8
28	в своей	4	8
29	с одной	2	8
30	между тем	6	8
31	как и	4	7
32	между прочим	3	7
33	того что	5	7
34	а также	4	7
35	с другой	5	7
36	так как	3	7
37	с этой	3	6
38	вовсе не	2	6
39	том что	15	6
40	может быть	19	6
41	для того	2	6
42	на то	5	6
43	как бы	6	6
44	то что	12	6
45	во всех	2	6
46	и на	6	6
47	то есть	2	6
48	не в	6	5
49	но не	2	5
50	одной из	2	5
51	со стороны	3	5
52	как мы	2	5
53	в течение	4	5
54	и по	2	5
55	в виде	3	5
56	в россии	6	5
57	независимо от	5	4
58	или иной	2	4
59	можно сказать	4	4
60	несмотря на	3	4
61	в самом	2	4
62	то в	4	4
63	в ней	4	4
64	к ней	4	4
65	не на	2	4
66	мы не	2	4
67	не имеет	2	4
68	во многих	2	4
69	сказать что	4	4
70	тем более	3	4
71	в каком	4	4
72	место в	6	3
73	и к	4	3
74	этом отношении	4	3
75	с тем	4	3
76	никогда не	2	3
77	в них	5	3
78	этом смысле	4	3
79	от них	2	3
80	в остальном	2	3
81	в общем	4	3
82	в свою	2	3
83	того же	2	3
84	связано с	5	3
85	всяком случае	4	3
86	не является	3	3
87	и тем	4	3
88	ее в	2	3
89	как в	6	3
90	и только	2	3
91	и для	4	3
92	как на	6	3
93	в которых	2	3
94	в результате	2	3
95	потому что	5	3
96	во всяком	4	3
97	тем что	19	3
98	ни на	2	3
99	на долю	2	3
100	россии и	2	3
101	о том	8	3
102	отметить что	5	3
103	что все	3	2
104	и более	3	2
105	а не	5	2
106	в этих	11	2
107	в какой	3	2
108	во втором	2	2
109	и во	2	2
110	с этим	7	2
111	но также	2	2
112	к нему	4	2
113	утверждать что	2	2
114	такой же	2	2
115	есть в	2	2
116	что если	2	2
117	но как	2	2
118	что это	16	2
119	и если	3	2
120	нас к	2	2
121	на язык	3	2
122	он не	5	2
123	в его	12	2
124	в котором	5	2
125	если в	2	2
126	точка зрения	4	2
127	в развитии	2	2
128	при помощи	2	2
129	в некоторых	3	2
130	вместе с	2	2
131	всего в	4	2
132	а в	6	2
133	таким образом	10	2
134	если бы	4	2
135	начиная с	2	2
136	и других	2	2
137	заключается в	2	2
138	и что	3	2
139	и наконец	3	2
140	другой стороны	5	2
141	же к	2	2
142	во многом	2	2
143	на основе	2	2
144	мы видим	4	2
145	или в	2	2
146	в своих	8	2
147	что эти	4	2
148	и с	4	2
149	могут быть	2	2
150	в этой	14	2
151	бы совершенно	3	2
152	в европейской	2	2
153	заметить что	2	2
154	тогда когда	2	2
155	в эту	4	2
