N	2gram	Tiupa_Disk_2	slovoVRo
1	и в	16	41
2	в нем	7	30
3	то есть	12	26
4	могут быть	3	19
5	но и	11	16
6	и не	15	16
7	точки зрения	4	16
8	не только	10	16
9	а не	14	15
10	то же	6	14
11	в пределах	4	14
12	может быть	16	14
13	не может	9	14
14	и его	3	14
15	и на	5	14
16	в то	5	14
17	в его	3	13
18	же время	5	12
19	как бы	4	12
20	в этом	16	12
21	так и	9	11
22	в большинстве	2	10
23	в той	2	10
24	или иной	3	9
25	той или	3	9
26	все эти	3	9
27	себя в	6	9
28	прежде всего	7	8
29	но в	11	8
30	как в	8	8
31	с точки	2	8
32	не в	3	7
33	отношение к	2	7
34	в своей	6	7
35	все же	6	7
36	романного жанра	2	7
37	того же	2	6
38	это не	3	6
39	при этом	17	6
40	а в	2	6
41	в них	3	6
42	к своему	2	6
43	только в	3	6
44	с другой	5	5
45	со своим	2	5
46	все это	2	5
47	в основе	4	5
48	романа и	2	5
49	не на	2	5
50	в языке	2	5
51	далеко не	2	5
52	перед нами	3	4
53	одной стороны	4	4
54	в ней	2	4
55	с ее	2	4
56	с одной	4	4
57	и наконец	3	4
58	и с	2	4
59	и все	3	4
60	с его	6	4
61	как и	16	4
62	здесь в	3	4
63	еще не	6	4
64	по преимуществу	2	4
65	на почве	2	4
66	входит в	2	4
67	другой стороны	2	4
68	речи в	2	4
69	и для	2	4
70	никогда не	2	3
71	из этих	3	3
72	в том	8	3
73	для него	5	3
74	из них	3	3
75	данном случае	6	3
76	в своем	5	3
77	именно в	2	3
78	также и	3	3
79	в результате	2	3
80	не было	3	3
81	о том	4	3
82	его в	3	3
83	произведения как	2	3
84	но здесь	2	3
85	в себе	19	3
86	рассказчика и	2	3
87	в качестве	16	3
88	и может	3	3
89	он не	3	3
90	в свое	2	3
91	не требует	2	3
92	внутренней речи	3	3
93	в данном	7	3
94	и ее	3	3
95	же как	2	2
96	своего и	3	2
97	в частности	12	2
98	этого жанра	2	2
99	и одновременно	2	2
100	столь же	3	2
101	одного из	4	2
102	этом случае	2	2
103	можно сказать	3	2
104	например в	3	2
105	такого рода	9	2
106	в контексте	3	2
107	в целом	2	2
108	в этих	3	2
109	уже не	3	2
110	должно быть	2	2
111	потому что	4	2
112	в сочетании	2	2
113	рассказ в	2	2
114	между тем	2	2
115	не является	4	2
116	в котором	3	2
117	или напротив	2	2
118	и чужого	2	2
119	и всякое	2	2
120	в одном	4	2
121	к этому	4	2
122	или иного	2	2
123	интерес к	2	2
124	том что	10	2
125	не с	2	2
126	но не	7	2
127	одно и	2	2
128	а также	8	2
129	с ней	2	2
130	а с	5	2
131	той же	2	2
132	роль в	4	2
133	и то	4	2
134	в другом	3	2
135	жизни но	3	2
136	здесь не	2	2
137	непосредственно и	2	2
