N	2gram	Berdyaev_V_1	Vladivir
1	и в	16	31
2	не только	2	24
3	а к	2	22
4	но и	5	19
5	то что	9	18
6	и не	20	17
7	том что	2	14
8	что в	3	14
9	в этом	4	14
10	что он	4	12
11	в его	4	12
12	но в	3	12
13	с его	3	11
14	в том	3	11
15	потому что	4	11
16	и то	2	10
17	никогда не	3	9
18	а в	2	9
19	только в	2	9
20	в конце	3	9
21	так как	9	8
22	для него	2	7
23	и потому	7	6
24	и сам	2	6
25	в котором	4	6
26	так и	4	6
27	и что	3	6
28	а с	2	5
29	все это	5	5
30	не в	3	5
31	что и	3	5
32	жизни и	3	5
33	не было	3	5
34	с ним	2	5
35	и все	4	4
36	и теперь	2	4
37	в нем	4	4
38	для нас	2	4
39	да и	2	4
40	как и	4	4
41	мы и	2	4
42	хотя и	5	4
43	один из	2	4
44	в своей	3	4
45	в истории	8	4
46	к тому	3	3
47	в жизни	3	3
48	но не	2	3
49	но это	3	3
50	что они	7	3
51	тот же	3	3
52	человека как	2	3
53	все эти	3	3
54	если не	3	3
55	уже не	2	3
56	на себя	5	3
57	во мне	4	2
58	тем что	2	2
59	с тем	2	2
60	по этому	3	2
61	нет и	2	2
62	в них	3	2
63	хотя бы	3	2
64	что все	4	2
65	и я	4	2
66	его к	2	2
67	тем кто	2	2
68	ни в	3	2
69	что я	3	2
70	от него	2	2
71	все что	4	2
72	это мы	2	2
73	еще не	8	2
74	того что	5	2
75	и мы	3	2
76	конечно не	2	2
77	о высшем	2	2
78	и т	2	2
79	в социализме	3	2
80	но мы	2	2
81	т д	2	2
82	и для	3	2
83	лишь в	3	2
84	и за	2	2
85	того чтобы	2	2
86	что мы	4	2
87	и никогда	2	2
88	во всяком	2	2
89	вера в	2	2
90	и это	2	2
91	в чем	3	2
92	бога и	5	2
