N	2gram	Vygotskiy__5	VrazhdaK
1	не только	16	9
2	в этом	14	8
3	и что	23	8
4	и в	30	8
5	но и	6	7
6	что в	24	7
7	то что	37	7
8	и все	4	7
9	в котором	2	6
10	в нем	7	6
11	все же	7	6
12	и даже	2	6
13	в романе	2	6
14	как и	6	6
15	но в	5	6
16	и с	2	6
17	то же	7	5
18	и не	6	5
19	у него	3	5
20	об этом	3	5
21	в письме	2	5
22	в то	2	5
23	уже в	6	4
24	для нас	3	4
25	как бы	19	4
26	все это	2	4
27	целый ряд	3	4
28	это не	3	4
29	что он	17	4
30	так же	13	4
31	в своих	5	4
32	может быть	11	4
33	при этом	8	4
34	несмотря на	5	4
35	о том	10	4
36	в ней	4	4
37	в виду	4	4
38	и уже	3	3
39	с его	2	3
40	связи с	2	3
41	давно уже	2	3
42	в своем	6	3
43	что у	3	3
44	что есть	2	3
45	в конце	4	3
46	к этому	3	3
47	человека в	3	3
48	на то	17	3
49	он был	2	3
50	в том	27	3
51	и его	6	3
52	том что	21	3
53	и как	7	3
54	тем что	6	3
55	в его	4	3
56	но он	3	3
57	и о	3	3
58	он не	3	3
59	его с	2	2
60	а с	5	2
61	в своей	4	2
62	и это	8	2
63	из них	2	2
64	никогда не	9	2
65	вместе с	12	2
66	в них	4	2
67	как раз	13	2
68	так в	3	2
69	не может	9	2
70	по мнению	6	2
71	а в	4	2
72	отношения к	2	2
73	таким образом	20	2
74	рядом с	5	2
75	это в	3	2
76	в той	3	2
77	на первый	2	2
78	с которым	3	2
79	очень хорошо	2	2
80	и он	2	2
81	же не	2	2
82	мы знаем	2	2
83	с точки	2	2
84	же в	2	2
85	чувств и	4	2
86	в глазах	2	2
87	в этой	5	2
88	и то	9	2
89	же как	2	2
90	точки зрения	7	2
91	в свою	3	2
92	в себе	5	2
93	для него	3	2
94	в нашей	2	2
95	еще не	5	2
96	о чем	4	2
97	его на	2	2
98	ответ на	5	2
99	одна из	3	2
100	в него	4	2
