N	2gram	Tiupa_Narr_2	Problema
1	то есть	9	46
2	в его	6	43
3	и не	14	42
4	и в	13	38
5	не может	8	27
6	может быть	10	26
7	как бы	6	22
8	по отношению	5	21
9	отнюдь не	4	19
10	отношению к	5	19
11	и его	3	16
12	в нем	5	15
13	в этом	13	15
14	и т	2	14
15	прежде всего	6	13
16	только в	11	13
17	т п	2	13
18	но не	3	12
19	и для	3	11
20	в области	2	11
21	таким образом	5	10
22	но и	15	9
23	не имеет	2	9
24	не только	26	9
25	место в	5	8
26	в том	14	8
27	точки зрения	5	8
28	было бы	2	8
29	то что	8	8
30	что в	4	7
31	с другой	5	7
32	не в	8	7
33	в самом	2	7
34	между тем	3	7
35	как и	4	7
36	еще не	2	7
37	в своей	4	7
38	не к	4	6
39	а в	9	6
40	все же	6	6
41	дело с	2	6
42	самом деле	3	6
43	с точки	2	6
44	ничего не	6	6
45	то же	4	5
46	в своем	6	5
47	это не	3	5
48	при этом	14	5
49	имеет место	2	5
50	никогда не	6	5
51	все эти	3	5
52	далеко не	5	5
53	с ним	4	5
54	так и	9	5
55	в отличие	5	5
56	а не	17	5
57	отличие от	5	5
58	должна быть	2	4
59	не менее	4	4
60	в нашем	2	4
61	на самом	2	4
62	только по	2	4
63	в ней	2	4
64	в конечном	3	4
65	данном случае	6	4
66	в форме	5	4
67	в других	2	4
68	с ними	3	4
69	сказать что	3	4
70	в то	5	4
71	о том	5	4
72	к которому	2	4
73	но в	6	4
74	конечном счете	3	4
75	в ее	4	4
76	как в	5	4
77	тем самым	5	4
78	хотя бы	2	4
79	можно было	2	4
80	в данном	10	4
81	в себе	8	4
82	здесь не	2	4
83	вследствие этого	2	3
84	тем не	5	3
85	да и	3	3
86	но это	2	3
87	имеем дело	2	3
88	же время	3	3
89	одной стороны	5	3
90	несмотря на	2	3
91	хотя и	5	3
92	не является	4	3
93	и тем	5	3
94	в целом	3	3
95	с одной	5	3
96	они не	2	3
97	и даже	3	3
98	все то	2	3
99	а как	3	3
100	если бы	4	3
101	и все	4	3
102	на фоне	2	3
103	и к	6	3
104	том что	13	3
105	говорить о	2	3
106	к миру	2	3
107	все что	4	3
108	со всеми	2	3
109	он не	5	3
110	оно не	2	3
111	на него	5	3
112	бытия в	2	3
113	в мире	4	3
114	в слове	3	3
115	в таком	3	3
116	едва ли	3	3
117	я не	5	2
118	том как	2	2
119	человек в	3	2
120	в частности	11	2
121	в равной	2	2
122	в какой	4	2
123	столь же	2	2
124	на то	2	2
125	или иной	3	2
126	можно сказать	6	2
127	но зато	2	2
128	в свою	2	2
129	по поводу	2	2
130	что это	4	2
131	и у	4	2
132	той или	3	2
133	не вполне	2	2
134	в котором	5	2
135	он может	2	2
136	в культуре	2	2
137	как к	3	2
138	этом отношении	3	2
139	и что	2	2
140	того что	6	2
141	и здесь	2	2
142	в своих	2	2
143	не следует	3	2
144	к себе	7	2
145	к его	3	2
146	в начале	2	2
147	о котором	3	2
148	того или	3	2
149	как это	4	2
150	в него	2	2
151	мы имеем	3	2
152	с его	3	2
153	и более	2	2
154	не все	2	2
155	вовсе не	2	2
156	или иного	3	2
157	характера и	3	2
158	что он	5	2
159	у нас	2	2
160	а к	3	2
161	одна из	3	2
162	в строгом	2	2
163	что и	2	2
164	себя в	2	2
165	в современной	2	2
166	в себя	4	2
167	к своему	2	2
168	того чтобы	3	2
169	и он	2	2
170	в виде	2	2
171	в другом	4	2
172	в чем	2	2
