N	3gram	Medvedev_F_2	Problema
1	и т п	9	13
2	не может быть	10	11
3	с точки зрения	7	6
4	в большинстве случаев	3	5
5	в отличие от	2	5
6	в высшей степени	4	5
7	и прежде всего	2	5
8	с другой стороны	3	4
9	не входит в	2	4
10	то же время	5	3
11	в самом деле	5	3
12	в то же	5	3
13	в применении к	2	3
14	на самом деле	3	3
15	в этом смысле	2	3
16	в том что	2	3
17	ни в чем	2	2
18	на первый план	2	2
19	так и в	3	2
20	и в то	3	2
21	русский формальный метод	2	2
22	не могут быть	4	2
23	основных понятий и	2	2
24	того или иного	4	2
25	и не может	3	2
26	в этом отношении	7	2
27	в какой мере	2	2
28	но и в	3	2
29	не следует что	2	2
30	для того чтобы	3	2
