N	2gram	Nazirov_Tr_1	Dialekti
1	и не	7	30
2	может быть	7	20
3	и в	18	19
4	не только	8	19
5	в себе	4	15
6	то что	4	14
7	что она	2	14
8	и даже	4	14
9	в том	2	14
10	как бы	7	14
11	потому что	2	14
12	но и	4	12
13	то же	5	12
14	не просто	2	12
15	и все	4	12
16	что это	5	10
17	ни в	2	10
18	как и	5	10
19	и как	3	10
20	в нем	4	10
21	так и	5	10
22	том что	4	10
23	это не	5	10
24	никогда не	2	9
25	не может	5	9
26	прежде всего	4	8
27	не в	2	8
28	в этом	9	8
29	в душе	2	7
30	как это	3	7
31	но это	4	7
32	что в	4	7
33	должно быть	3	7
34	и то	2	7
35	как будто	3	7
36	так что	2	7
37	я не	4	6
38	что он	6	6
39	отнюдь не	3	6
40	в то	5	6
41	личности и	2	6
42	же время	6	5
43	в самом	2	5
44	что и	2	5
45	и это	2	5
46	и что	4	5
47	и его	6	5
48	жизнь и	3	5
49	о том	2	5
50	и с	7	5
51	уже в	3	4
52	в своем	3	4
53	в одном	2	4
54	не могут	2	4
55	в ее	2	4
56	все же	5	4
57	при этом	3	4
58	еще не	4	4
59	к нему	3	4
60	он не	2	4
61	все это	4	4
62	тут же	2	4
63	в таком	2	4
64	с ним	3	4
65	о чем	3	3
66	в это	2	3
67	вопрос о	2	3
68	об этом	4	3
69	уже не	2	3
70	в этой	4	3
71	как же	2	3
72	что этот	2	3
73	в данном	2	3
74	его в	2	3
75	ничего не	2	3
76	это уже	2	2
77	в частности	2	2
78	перед нами	2	2
79	в конце	3	2
80	к тому	2	2
81	а я	5	2
82	но все	2	2
83	что я	4	2
84	с тем	2	2
85	он всегда	4	2
86	что с	3	2
87	несмотря на	5	2
88	только к	2	2
89	в мире	3	2
90	и я	2	2
91	и личность	2	2
92	от всего	2	2
93	данном случае	2	2
94	так же	4	2
95	с ее	3	2
96	как в	3	2
97	с первого	2	2
98	времени в	2	2
99	бы и	2	2
100	тем что	2	2
101	в виде	2	2
102	только о	2	2
103	что эти	2	2
104	все эти	3	2
105	но в	6	2
