N	2gram	Losev_Prob_1	VrazhdaK
1	не только	17	9
2	в этом	19	8
3	и что	9	8
4	и в	32	8
5	но и	9	7
6	что в	12	7
7	то что	42	7
8	и все	7	7
9	в котором	5	6
10	в нем	13	6
11	и даже	11	6
12	как и	3	6
13	но в	14	6
14	и с	2	6
15	о нем	3	6
16	то же	10	5
17	не было	4	5
18	и не	31	5
19	об этом	10	5
20	между тем	2	5
21	в то	6	5
22	уже в	3	4
23	для нас	5	4
24	как бы	14	4
25	все это	7	4
26	это не	6	4
27	что он	7	4
28	так же	9	4
29	с ним	3	4
30	может быть	14	4
31	при этом	6	4
32	в истории	4	4
33	несмотря на	3	4
34	о том	11	4
35	в виду	6	4
36	и уже	3	3
37	с его	2	3
38	имел в	2	3
39	связи с	5	3
40	в своем	5	3
41	и во	3	3
42	в связи	4	3
43	в конце	6	3
44	на то	8	3
45	в том	9	3
46	и его	3	3
47	том что	12	3
48	и как	6	3
49	тем что	7	3
50	в его	6	3
51	далеко не	5	3
52	его в	6	3
53	из подполья	2	3
54	но он	3	3
55	и о	8	3
56	в чем	3	3
57	он не	3	3
58	он сам	2	2
59	в своей	8	2
60	и это	9	2
61	после этого	4	2
62	из них	3	2
63	не менее	19	2
64	никогда не	7	2
65	вместе с	2	2
66	отнюдь не	10	2
67	в них	7	2
68	как раз	13	2
69	что к	2	2
70	не может	8	2
71	а в	4	2
72	таким образом	6	2
73	но это	8	2
74	уже не	3	2
75	на первый	2	2
76	с точки	3	2
77	же в	4	2
78	как же	3	2
79	тем более	5	2
80	в этой	10	2
81	и то	6	2
82	же как	2	2
83	их в	4	2
84	но как	6	2
85	точки зрения	3	2
86	и ее	8	2
87	в себе	15	2
88	для него	2	2
89	еще не	9	2
90	в это	2	2
91	о чем	6	2
92	при помощи	13	2
93	в эту	2	2
94	а также	4	2
95	в него	2	2
