N	2gram	Bakhtin_Fr_6	Hudozhes
1	то есть	24	18
2	и не	3	16
3	в том	2	15
4	и в	41	15
5	не только	10	15
6	в частности	2	13
7	может быть	2	13
8	при этом	3	12
9	а в	4	12
10	и его	13	12
11	но не	2	11
12	в этом	12	11
13	в себе	5	11
14	как бы	7	10
15	но и	13	10
16	так и	5	10
17	то же	5	10
18	а не	2	10
19	в его	7	9
20	точки зрения	2	9
21	себя в	2	8
22	с другой	4	7
23	в искусстве	3	7
24	в то	6	7
25	но в	8	7
26	в основе	4	6
27	с его	5	6
28	что в	7	6
29	в ее	5	6
30	том что	7	6
31	не в	4	6
32	же время	5	6
33	не может	4	6
34	а также	5	5
35	только в	3	5
36	в самом	10	5
37	того что	3	5
38	в нем	16	5
39	то что	10	5
40	между ними	3	5
41	и т.п	19	5
42	другой стороны	2	5
43	а на	2	4
44	в этих	2	4
45	прежде всего	10	4
46	и как	4	4
47	в другом	4	4
48	например в	6	4
49	хотя и	2	4
50	он не	2	4
51	в своей	2	4
52	в форме	2	4
53	самим собой	2	4
54	и то	2	4
55	сказать что	6	4
56	между тем	2	4
57	говорить о	2	4
58	как это	2	4
59	одного и	2	3
60	что он	6	3
61	того же	4	3
62	как раз	2	3
63	к нему	3	3
64	не на	2	3
65	таким образом	17	3
66	как и	7	3
67	в той	5	3
68	лишь в	2	3
69	и что	5	3
70	во втором	3	3
71	с точки	2	3
72	и для	3	3
73	их в	2	3
74	потому что	3	3
75	но он	5	3
76	в данном	3	3
77	человека с	2	3
78	в области	2	3
79	на этом	2	2
80	в своем	5	2
81	в них	7	2
82	превращается в	2	2
83	и особенно	3	2
84	и весьма	2	2
85	в одном	5	2
86	человека и	2	2
87	вовсе не	7	2
88	в литературе	5	2
89	роль в	4	2
90	тем более	2	2
91	есть в	3	2
92	времени и	2	2
93	в значительной	2	2
94	одной стороны	4	2
95	и сам	3	2
96	мира в	2	2
97	никто не	2	2
98	за пределы	2	2
99	во всех	17	2
100	одной из	3	2
101	и потому	2	2
102	втором случае	3	2
103	даже в	4	2
104	и др	10	2
105	как в	4	2
106	а именно	2	2
107	было и	2	2
108	и прежде	2	2
109	в романе	2	2
110	с одной	4	2
111	именно в	4	2
112	все эти	11	2
113	это и	2	2
114	в году	6	2
115	того чтобы	4	2
116	или в	6	2
117	так же	5	2
118	с ним	4	2
119	от всех	2	2
120	с другими	3	2
121	и на	9	2
122	нового времени	4	2
123	у него	7	2
124	начиная с	2	2
125	в этой	8	2
126	о том	9	2
127	в организации	2	2
128	из этого	4	2
129	мира и	2	2
130	в чем	3	2
