N	2gram	Losev_Vlad_2	DiskursI
1	в себе	6	19
2	при этом	5	17
3	и в	30	16
4	может быть	7	16
5	как и	5	16
6	в этом	20	16
7	и не	18	15
8	а не	7	14
9	в частности	2	12
10	в отличие	3	12
11	отличие от	3	12
12	то есть	7	12
13	но и	8	11
14	но в	8	11
15	том что	12	10
16	не только	12	10
17	со стороны	4	10
18	такого рода	2	9
19	так и	5	9
20	не может	9	9
21	в том	18	8
22	а также	10	8
23	как в	3	8
24	не менее	7	7
25	прежде всего	6	7
26	в нем	4	7
27	ни в	7	7
28	но не	3	7
29	в данном	3	7
30	с его	4	6
31	себя в	2	6
32	все же	9	6
33	в своей	5	6
34	данном случае	2	6
35	то же	4	6
36	в своих	2	6
37	что в	12	5
38	в своем	8	5
39	же время	3	5
40	для него	9	5
41	то что	20	5
42	и на	4	5
43	в то	9	5
44	я в	3	5
45	к этому	6	4
46	к его	2	4
47	как бы	5	4
48	потому что	9	4
49	можно назвать	2	4
50	точки зрения	7	4
51	в этой	4	4
52	и то	5	4
53	о том	4	4
54	я и	2	4
55	жизни в	2	3
56	и может	2	3
57	в этих	4	3
58	в них	3	3
59	это не	2	3
60	не столько	3	3
61	из этих	3	3
62	и все	7	3
63	уже не	3	3
64	и как	3	3
65	не в	9	3
66	здесь в	2	3
67	можно сказать	4	3
68	он не	4	3
69	в его	11	3
70	еще в	2	3
71	в котором	5	3
72	жизни и	6	3
73	не было	10	3
74	все эти	5	3
75	и наконец	4	3
76	также и	6	3
77	и его	6	3
78	но это	4	3
79	как будто	2	3
80	только в	6	3
81	его в	4	3
82	содержит в	4	2
83	никогда не	7	2
84	же касается	5	2
85	бытия и	2	2
86	в целом	4	2
87	это в	3	2
88	на первый	2	2
89	в той	2	2
90	что он	13	2
91	а к	2	2
92	того же	5	2
93	отношение к	4	2
94	о чем	6	2
95	некоторого рода	2	2
96	в ней	4	2
97	для себя	5	2
98	что и	3	2
99	с точки	3	2
100	но уже	2	2
101	время в	4	2
102	вместе с	8	2
103	с ней	2	2
104	что же	8	2
105	и прежде	2	2
106	не на	2	2
107	того и	2	2
108	именно в	4	2
109	там же	12	2
110	все это	5	2
111	и для	3	2
112	должно быть	3	2
113	а в	11	2
114	той же	4	2
115	тут же	2	2
116	в результате	5	2
117	их в	2	2
118	и с	14	2
119	не о	2	2
120	стремится к	2	2
121	или по	2	2
122	и это	3	2
123	дело в	3	2
124	здесь не	4	2
125	в области	3	2
