N	2gram	Nazirov_Tr_1	VrazhdaK
1	в году	9	18
2	в бесах	9	10
3	не только	8	9
4	достоевский в	7	8
5	в этом	9	8
6	и что	4	8
7	и в	18	8
8	достоевского в	3	7
9	но и	4	7
10	что в	4	7
11	то что	4	7
12	и все	4	7
13	в нем	4	6
14	все же	5	6
15	и даже	4	6
16	в романе	10	6
17	как и	5	6
18	но в	6	6
19	и с	7	6
20	то же	5	5
21	и не	7	5
22	у него	6	5
23	об этом	4	5
24	в то	5	5
25	же время	6	5
26	уже в	3	4
27	у достоевского	5	4
28	как бы	7	4
29	все это	4	4
30	это не	5	4
31	что он	6	4
32	что достоевский	4	4
33	так же	4	4
34	с ним	3	4
35	может быть	7	4
36	при этом	3	4
37	несмотря на	5	4
38	о том	2	4
39	и детей	2	4
40	я не	4	3
41	с его	2	3
42	достоевский уже	3	3
43	в своем	3	3
44	сам достоевский	3	3
45	в конце	3	3
46	ставрогина он	2	3
47	ставрогина и	3	3
48	он был	2	3
49	в том	2	3
50	и его	6	3
51	том что	4	3
52	и как	3	3
53	что князь	2	3
54	тем что	2	3
55	достоевский не	4	3
56	петр верховенский	7	3
57	в его	3	3
58	его в	2	3
59	он не	2	3
60	он сам	7	2
61	и это	2	2
62	отцы и	2	2
63	никогда не	2	2
64	отнюдь не	3	2
65	столь же	2	2
66	не может	5	2
67	по мнению	2	2
68	но это	4	2
69	уже не	2	2
70	году в	2	2
71	не мог	2	2
72	и он	3	2
73	роман достоевского	2	2
74	как же	2	2
75	в глазах	2	2
76	и дети	2	2
77	в этой	4	2
78	что я	4	2
79	и то	2	2
80	права на	2	2
81	и ее	2	2
82	в себе	4	2
83	отношение к	2	2
84	для него	3	2
85	петра верховенского	17	2
86	еще не	4	2
87	в письмах	2	2
88	в это	2	2
89	о чем	3	2
90	в мире	3	2
91	одна из	2	2
