N	2gram	Trubetskoy_1	Analitik
1	в этом	15	18
2	и в	26	16
3	не только	10	16
4	так и	6	15
5	в том	11	12
6	но и	9	12
7	и не	8	12
8	том что	7	12
9	в качестве	3	11
10	как бы	12	10
11	при этом	3	10
12	а не	5	10
13	лишь в	5	9
14	и даже	3	9
15	в этой	4	9
16	то есть	4	9
17	состоит в	2	8
18	представляет собой	3	8
19	к тому	6	7
20	в себе	6	7
21	то что	7	7
22	особенно в	2	7
23	о том	6	7
24	а также	2	7
25	с другой	8	6
26	в самом	4	6
27	в мире	5	6
28	и на	2	6
29	может быть	10	6
30	но в	7	6
31	и к	5	5
32	с одной	7	5
33	не менее	3	4
34	только не	2	4
35	в своем	3	4
36	в конце	6	4
37	можно сказать	3	4
38	уже не	3	4
39	тому же	5	4
40	не в	2	4
41	но не	8	4
42	того же	6	4
43	для него	3	4
44	одной стороны	7	4
45	и является	2	4
46	и особенно	2	4
47	не с	2	4
48	отношению к	3	4
49	во всех	2	4
50	все это	6	4
51	не может	4	4
52	то же	4	4
53	он в	2	4
54	точки зрения	13	4
55	только в	4	4
56	в рамках	3	3
57	никогда не	5	3
58	как о	3	3
59	по крайней	5	3
60	прежде всего	2	3
61	или иной	2	3
62	ему в	2	3
63	одной из	5	3
64	тем не	3	3
65	его от	2	3
66	так что	3	3
67	крайней мере	5	3
68	несмотря на	6	3
69	и если	3	3
70	мы имеем	2	3
71	той или	2	3
72	что и	6	3
73	из них	7	3
74	приводит к	2	3
75	если бы	3	3
76	этом отношении	2	3
77	именно в	2	3
78	а в	4	3
79	в результате	3	3
80	попадает в	4	3
81	и т.д	6	3
82	в эту	2	3
83	и все	2	3
84	в общем	8	2
85	того что	3	2
86	для всех	2	2
87	них не	2	2
88	при таком	2	2
89	может ли	2	2
90	в одном	3	2
91	и иной	2	2
92	что все	4	2
93	к этому	3	2
94	из своих	2	2
95	на то	2	2
96	связывается с	3	2
97	по существу	2	2
98	должна была	2	2
99	все что	2	2
100	превращается в	2	2
101	же время	2	2
102	что в	9	2
103	так например	2	2
104	еще не	2	2
105	в котором	4	2
106	один из	2	2
107	вместе с	15	2
108	вслед за	2	2
109	таким образом	22	2
110	те же	2	2
111	в значительной	3	2
112	свидетельствует о	2	2
113	на этот	4	2
114	не имеет	5	2
115	и для	5	2
116	с точки	6	2
117	так же	5	2
118	в таком	3	2
119	между тем	2	2
120	одно из	2	2
121	он не	4	2
122	к его	2	2
123	в то	4	2
124	в его	5	2
125	в этих	4	2
126	сказать что	2	2
127	грань между	2	2
