N	2gram	Berdyaev_N_1	FransuaR
1	и в	16	65
2	и не	11	22
3	и т.п	2	17
4	в том	8	16
5	в этом	7	15
6	но в	2	14
7	в нем	5	13
8	нового времени	12	13
9	прежде всего	4	11
10	и на	2	11
11	и потому	4	10
12	не только	5	10
13	но и	3	10
14	так и	2	10
15	все эти	2	10
16	средневековья и	2	9
17	в эпоху	9	9
18	во всех	3	9
19	все это	5	9
20	по своему	4	8
21	в основе	3	8
22	в духе	3	8
23	и даже	2	8
24	за пределы	3	8
25	культуры и	7	8
26	формы и	2	7
27	жизни и	8	7
28	никогда не	6	6
29	не знает	6	6
30	том что	2	6
31	времени и	2	6
32	еще не	3	6
33	может быть	7	6
34	в ней	5	6
35	века и	2	6
36	сказать что	3	6
37	связана с	2	5
38	с его	6	5
39	жизни в	3	5
40	в них	4	5
41	потому что	4	5
42	на протяжении	2	5
43	есть в	2	5
44	и пр	3	5
45	в своей	3	5
46	как в	3	5
47	как и	7	5
48	с их	2	5
49	xix века	5	5
50	и все	4	5
51	в средние	3	4
52	средние века	7	4
53	и к	5	4
54	не в	6	4
55	мысли и	2	4
56	мира и	2	4
57	культуры в	5	4
58	в жизни	5	4
59	мир и	2	3
60	что в	9	3
61	перестает быть	4	3
62	это не	4	3
63	эти формы	3	3
64	новое время	4	3
65	в ее	3	3
66	но это	6	3
67	связаны с	2	3
68	в новое	3	3
69	но для	2	3
70	то что	4	3
71	не может	16	3
72	уже не	2	3
73	жизни как	2	3
74	с другой	3	3
75	в себе	2	3
76	самой жизни	2	3
77	сама жизнь	2	3
78	и с	2	3
79	ни к	2	2
80	но не	2	2
81	к тому	3	2
82	жизнью в	2	2
83	и от	2	2
84	и начало	3	2
85	стремление к	2	2
86	xix и	4	2
87	одной стороны	2	2
88	в наши	3	2
89	наряду с	3	2
90	хотя и	2	2
91	он не	8	2
92	нет и	2	2
93	и для	4	2
94	не к	2	2
95	к жизни	3	2
96	xviii века	2	2
97	истории и	9	2
98	с одной	2	2
99	роль в	2	2
100	могут быть	2	2
101	этот мир	2	2
102	от всякого	2	2
103	о том	4	2
104	и это	2	2
105	это было	3	2
