N	2gram	Voloshinov_1	Freidism
1	таким образом	9	24
2	и не	4	23
3	не может	8	20
4	точки зрения	8	19
5	прежде всего	9	18
6	эдипова комплекса	2	16
7	к отцу	6	16
8	и пр	12	15
9	в этом	9	15
10	в его	4	15
11	с помощью	2	14
12	в душе	2	13
13	в бессознательное	6	13
14	мы можем	9	13
15	может быть	17	13
16	к матери	8	12
17	и его	8	12
18	как и	2	11
19	как бы	5	11
20	то что	3	11
21	все эти	5	11
22	с точки	6	11
23	по фрейду	5	11
24	эдипов комплекс	8	11
25	и потому	3	10
26	так и	4	10
27	как мы	4	10
28	самом деле	6	10
29	его в	4	10
30	жизни человека	4	10
31	с ним	2	10
32	но в	4	10
33	с его	7	9
34	в сознание	7	9
35	и в	16	9
36	во всех	3	9
37	фрейд и	7	9
38	все что	4	8
39	что он	2	8
40	еще не	5	8
41	в своей	2	8
42	он не	2	8
43	не только	7	8
44	все это	4	8
45	то же	2	8
46	субъективной психологии	4	8
47	только в	4	8
48	и все	4	8
49	оно и	2	8
50	так как	4	8
51	сексуальное влечение	3	7
52	мы знаем	3	7
53	ни в	5	7
54	чувств и	3	7
55	во всяком	3	7
56	один из	2	7
57	отношение к	5	7
58	в самом	2	7
59	те же	3	7
60	и наконец	4	7
61	сказать что	7	7
62	мы уже	2	7
63	всяком случае	3	7
64	никогда не	2	6
65	и ее	4	6
66	протяжении всей	2	6
67	для него	6	6
68	за пределы	2	6
69	совершенно не	8	6
70	хотя бы	4	6
71	и с	8	6
72	на протяжении	2	6
73	и к	6	5
74	с сознанием	3	5
75	знаем что	2	5
76	свободного фантазирования	2	5
77	но мы	4	5
78	можно сказать	4	5
79	в этой	4	5
80	в чем	5	5
81	возврат в	3	5
82	для этого	2	5
83	в большинстве	3	5
84	что такое	5	5
85	травмы рождения	3	5
86	что в	3	5
87	но и	4	5
88	сам фрейд	2	5
89	на самом	4	5
90	его ученики	3	5
91	а в	3	5
92	и на	4	5
93	могут быть	3	5
94	с этим	2	5
95	в каком	2	5
96	большинстве случаев	3	5
97	я и	6	5
98	не менее	2	4
99	сознания и	2	4
100	по ранку	4	4
101	связанных с	2	4
102	и др	3	4
103	в этих	3	4
104	из этих	2	4
105	в пределах	2	4
106	в жизни	2	4
107	и образы	2	4
108	если мы	2	4
109	с другими	3	4
110	сводится к	2	4
111	метод свободного	2	4
112	на этом	3	4
113	связанные с	2	4
114	при этом	6	4
115	другими словами	2	4
116	культура и	3	4
117	конечно не	6	4
118	и о	2	4
119	в основе	3	4
120	организма и	2	4
121	все позволено	4	4
122	в нем	4	4
123	не имеющие	2	4
124	и желаний	4	4
125	явное содержание	3	4
126	между ними	3	4
127	таким путем	2	4
128	компромиссные образования	2	4
129	с самого	4	4
130	и для	2	4
131	совсем не	2	4
132	мы не	2	4
133	с ними	4	4
134	с их	3	4
135	во время	3	4
136	себя и	2	4
137	говорить о	2	4
138	т.е в	2	4
139	желаний и	2	4
140	в мир	2	4
141	всей жизни	2	4
142	бессознательного и	4	4
143	в голову	2	3
144	не могут	2	3
145	самого начала	4	3
146	через сознание	3	3
147	и есть	3	3
148	конечном счете	2	3
149	положение зародыша	2	3
150	в них	2	3
151	к себе	3	3
152	него только	2	3
153	фрейда в	3	3
154	ступенях развития	3	3
155	в конечном	3	3
156	ужас рождения	3	3
157	войти в	2	3
158	и как	3	3
159	но это	2	3
160	и оно	3	3
161	учение о	3	3
162	по своему	2	3
163	со всеми	2	3
164	и может	4	3
165	было бы	2	3
166	в общем	3	3
167	и бессознательное	3	3
168	и она	3	3
169	принципа наслаждения	4	3
170	ее в	2	3
171	в психике	8	3
172	и чувств	2	3
173	с ее	4	3
174	только то	2	3
175	жизни и	3	3
176	вместе с	3	3
177	и содержание	2	3
178	не знает	2	3
179	мысли и	4	3
180	чем не	3	3
181	и вот	3	3
182	этой теории	2	3
183	и т.п	2	3
184	можем сказать	2	3
185	и по	2	3
186	материнского лона	2	3
187	о бессознательном	2	3
188	с вытесненным	2	3
189	явные образы	2	3
190	у него	2	3
191	две группы	3	3
192	в детской	2	3
193	внутриутробного состояния	3	3
194	об его	2	3
195	образы сновидения	3	3
196	но ведь	2	3
197	и этим	2	3
198	в бессознательном	5	3
199	из тех	2	2
200	принципом наслаждения	2	2
201	есть и	2	2
202	не стали	2	2
203	его все	2	2
204	его целом	2	2
205	влечения я	2	2
206	что это	2	2
207	для всех	4	2
208	реальности и	3	2
209	эрогенных зонах	2	2
210	между собой	2	2
211	законы образования	4	2
212	подавленных энергий	2	2
213	матери и	3	2
214	того же	2	2
215	по всему	2	2
216	оно не	2	2
217	испытание с	2	2
218	и теперь	3	2
219	к этому	2	2
220	систему бессознательного	2	2
221	сновидения и	2	2
222	не можем	2	2
223	вытесненного влечения	3	2
224	чувства и	2	2
225	не нуждается	2	2
226	на следующих	2	2
227	для нас	2	2
228	быть это	3	2
229	психоаналитических сеансов	2	2
230	ни было	2	2
231	в основном	3	2
232	том что	3	2
233	ко всякому	3	2
234	механизм перенесения	2	2
235	на этой	3	2
236	от матери	2	2
237	рассеяно по	2	2
238	не существует	2	2
239	всю жизнь	2	2
240	для сознания	3	2
241	эмоций и	2	2
242	во сне	2	2
243	всей последующей	2	2
244	фрейд ни	2	2
245	к другим	2	2
246	что мы	2	2
247	так называемый	2	2
248	в него	5	2
249	человеческого поведения	2	2
250	в этот	2	2
251	организме и	2	2
252	остальной психологии	2	2
253	на две	3	2
254	только для	5	2
255	в развитии	2	2
256	от врача	2	2
257	как не	2	2
258	влечет к	2	2
259	пробиться в	2	2
260	сих пор	3	2
261	все снова	2	2
262	только на	3	2
263	во всей	2	2
264	всех других	2	2
265	и таким	2	2
266	отношения к	3	2
267	что оно	2	2
268	внешний мир	2	2
269	а потому	4	2
270	в систему	2	2
271	их цель	2	2
272	громадный запас	2	2
273	в науке	2	2
274	и даже	4	2
275	и притом	3	2
276	преодоление травмы	3	2
277	половой акт	2	2
278	принцип реальности	3	2
279	так же	2	2
280	в постель	2	2
281	на основе	2	2
282	скрытым мыслям	2	2
283	мы видим	2	2
284	их в	3	2
285	потому и	2	2
286	нуждается в	5	2
287	влечений я	3	2
288	они не	2	2
289	сознание и	5	2
290	что и	2	2
291	является по	2	2
292	вытесненным представлением	2	2
293	но как	2	2
294	и вообще	2	2
295	влечений и	2	2
296	об эрогенных	2	2
297	все то	2	2
298	шутки и	2	2
299	и фрейдисты	2	2
300	до сих	3	2
301	тех же	3	2
302	снов и	2	2
303	представлений и	3	2
304	как это	3	2
305	вытесненных влечений	2	2
306	в области	3	2
307	последующей жизни	2	2
308	образов сна	2	2
