N	2gram	Voloshinov_1	Istorich
1	не только	6	18
2	может быть	8	17
3	никогда не	3	15
4	и в	13	15
5	но и	3	14
6	так как	3	14
7	так же	2	13
8	что в	3	12
9	а в	2	12
10	то что	6	12
11	и не	8	11
12	в этом	2	11
13	что они	2	10
14	то же	4	10
15	все же	5	9
16	в другом	2	9
17	мы видим	2	8
18	мы можем	4	8
19	том что	2	7
20	и пр	7	7
21	в нем	2	7
22	таким образом	6	7
23	не в	3	7
24	связана с	3	6
25	мы уже	2	6
26	в его	7	6
27	как бы	6	6
28	в том	2	6
29	только в	6	6
30	но в	4	6
31	с этим	3	5
32	прежде всего	9	5
33	в одном	3	5
34	к тому	2	5
35	как в	2	5
36	было бы	4	5
37	так и	3	5
38	не может	8	5
39	в связи	2	5
40	а не	2	5
41	и наконец	5	5
42	с одной	2	4
43	и др	2	4
44	при этом	2	4
45	в ней	2	4
46	тем что	2	4
47	в себе	3	4
48	мы должны	6	4
49	все эти	2	4
50	не мог	2	3
51	и его	12	3
52	из тела	2	3
53	одной стороны	2	3
54	мог бы	2	3
55	отношению к	3	3
56	в их	3	3
57	все это	4	3
58	по отношению	3	3
59	роль в	2	3
60	мы не	4	3
61	здесь мы	3	3
62	уже в	2	2
63	самого начала	2	2
64	могут быть	2	2
65	материал в	2	2
66	с другой	2	2
67	не столько	3	2
68	в тех	2	2
69	да и	3	2
70	как и	3	2
71	этот материал	2	2
72	ни один	3	2
73	не что	2	2
74	и может	2	2
75	и для	3	2
76	а также	2	2
77	подойти к	2	2
78	хотя бы	5	2
79	ее в	2	2
80	и их	7	2
81	другой стороны	2	2
82	с самого	2	2
83	превращается в	3	2
84	самом деле	3	2
85	с ними	2	2
86	и то	3	2
87	и ее	2	2
88	что иное	2	2
89	его на	2	2
90	нет ничего	2	2
91	что эта	2	2
92	в которой	3	2
93	иное как	2	2
