N	2gram	Bakhtin_Fr_2	NovoeSre
1	не может	7	16
2	и в	49	16
3	нового времени	4	12
4	и не	15	11
5	что в	2	9
6	в эпоху	13	9
7	жизни и	7	8
8	в том	3	8
9	средние века	8	7
10	культуры и	3	7
11	в новой	2	7
12	как и	11	7
13	в этом	15	7
14	может быть	5	7
15	с его	5	6
16	никогда не	5	6
17	лишь в	4	6
18	но это	2	6
19	ни в	3	6
20	в нем	9	5
21	все это	9	5
22	в жизни	4	5
23	с ее	3	5
24	xix века	2	5
25	и к	4	5
26	в ней	2	5
27	не только	17	5
28	то что	6	4
29	перестает быть	2	4
30	в них	13	4
31	не во	2	4
32	и все	3	4
33	не было	4	4
34	прежде всего	19	4
35	о том	3	4
36	и потому	5	4
37	но и	13	3
38	в средние	9	3
39	в своей	5	3
40	в истории	6	3
41	жизни в	3	3
42	с другой	4	3
43	человека и	3	3
44	в духе	4	3
45	во всех	6	3
46	эти формы	2	3
47	в мире	2	3
48	в ее	3	3
49	духа и	3	3
50	подобно тому	2	3
51	еще не	2	3
52	тому как	2	3
53	за пределы	2	3
54	сказать что	6	3
55	в новое	2	3
56	времени и	6	2
57	на протяжении	7	2
58	место в	3	2
59	у него	2	2
60	вместе с	2	2
61	культура средневековья	3	2
62	века и	3	2
63	так и	6	2
64	и т.п	11	2
65	другой стороны	3	2
66	а в	4	2
67	средневековья и	3	2
68	с одной	3	2
69	все эти	7	2
70	думать что	2	2
71	в одну	2	2
72	роль в	5	2
73	того чтобы	2	2
74	одной стороны	3	2
75	и даже	2	2
76	но не	5	2
77	так же	2	2
78	по существу	2	2
79	это и	2	2
80	том что	4	2
81	в смысле	2	2
82	можно было	3	2
83	связана с	3	2
84	связаны с	2	2
85	есть в	2	2
86	одна из	4	2
87	и с	6	2
88	могут быть	2	2
89	и на	17	2
90	в себе	4	2
91	с их	6	2
92	в то	6	2
93	века были	2	2
94	века но	2	2
95	и это	3	2
96	такого рода	2	2
97	xviii века	6	2
98	хотя и	2	2
99	но в	4	2
