N	2gram	Trubetskoy_1	VeschiIm
1	не есть	2	49
2	не может	17	33
3	не только	7	31
4	может быть	16	29
5	и не	8	28
6	и в	23	26
7	то что	18	24
8	только в	6	14
9	и что	8	13
10	того что	6	13
11	что это	5	12
12	было бы	3	12
13	но и	9	12
14	все же	13	12
15	в себя	2	12
16	и то	4	12
17	и ее	2	12
18	что же	2	11
19	таким образом	31	11
20	а и	8	11
21	то же	4	10
22	в ней	3	10
23	как бы	10	10
24	потому что	9	10
25	что мы	4	10
26	в том	30	9
27	в самом	8	9
28	бы то	2	9
29	и с	5	9
30	ни было	2	9
31	прежде всего	3	9
32	то ни	3	9
33	себя и	2	8
34	на то	9	8
35	с ее	2	8
36	в себе	5	8
37	и это	3	8
38	совершенно не	3	7
39	что оно	3	7
40	также и	2	7
41	говорить о	2	7
42	в то	6	7
43	его в	5	7
44	так как	7	7
45	том что	19	7
46	не будет	5	7
47	и их	5	7
48	в этом	12	7
49	так что	5	6
50	это есть	4	6
51	что они	2	6
52	что в	8	6
53	для него	2	6
54	но если	2	6
55	жизни и	2	6
56	отличается от	6	6
57	и только	2	6
58	должно быть	4	6
59	в результате	9	6
60	точки зрения	13	6
61	но в	4	6
62	ясно что	8	6
63	она не	2	6
64	если мы	4	6
65	с ним	6	6
66	не менее	7	5
67	должна быть	5	5
68	это не	3	5
69	с этой	3	5
70	тем не	4	5
71	не в	8	5
72	свою очередь	2	5
73	еще не	5	5
74	из себя	10	5
75	и до	3	5
76	для этого	7	5
77	должны быть	3	5
78	а в	3	5
79	что для	4	5
80	как к	5	5
81	с тем	2	5
82	если бы	8	5
83	отнюдь не	2	5
84	в свою	2	5
85	у нас	3	5
86	одна из	2	5
87	но не	2	5
88	того же	9	5
89	другими словами	2	5
90	в сущности	2	5
91	для себя	2	5
92	и для	6	5
93	я не	2	4
94	можно ли	2	4
95	в своем	10	4
96	с другой	6	4
97	независимо от	2	4
98	же время	2	4
99	между собою	5	4
100	только то	2	4
101	из них	5	4
102	в их	4	4
103	то и	2	4
104	от того	3	4
105	с этим	11	4
106	о том	7	4
107	говорить что	3	4
108	и более	2	4
109	но тогда	3	4
110	и все	7	4
111	как и	9	4
112	так чтобы	2	4
113	во всех	10	4
114	на себе	2	4
115	и потому	3	4
116	на почве	3	4
117	что и	7	4
118	быть и	5	4
119	этот вопрос	2	4
120	между ними	2	4
121	с точки	8	4
122	в данном	3	4
123	же не	3	4
124	никогда не	4	3
125	но даже	3	3
126	вопрос о	3	3
127	к тому	8	3
128	несмотря на	6	3
129	более или	7	3
130	это может	2	3
131	на этом	2	3
132	и сам	2	3
133	в нем	3	3
134	отношение к	4	3
135	все это	11	3
136	их в	2	3
137	но как	2	3
138	а это	2	3
139	тогда когда	3	3
140	в жизни	3	3
141	что он	7	3
142	в а	2	3
143	тот же	3	3
144	между прочим	2	3
145	вместе с	6	3
146	так и	10	3
147	или менее	7	3
148	а с	4	3
149	из того	4	3
150	самом деле	12	3
151	бы в	3	3
152	того чтобы	8	3
153	хотя бы	4	3
154	тем более	3	3
155	с в	3	3
156	не то	3	3
157	и вообще	3	3
158	я в	2	3
159	если это	2	3
160	в основе	2	3
161	может не	3	2
162	на вопрос	4	2
163	мы будем	3	2
164	в частности	2	2
165	тому что	2	2
166	именно потому	2	2
167	на все	5	2
168	а потому	5	2
169	в самой	2	2
170	но все	5	2
171	и если	6	2
172	мы уже	4	2
173	не стоит	2	2
174	в виду	2	2
175	так или	5	2
176	только один	2	2
177	и уже	2	2
178	только одно	2	2
179	образом и	2	2
180	данном случае	3	2
181	то очевидно	3	2
182	мы говорили	7	2
183	в разных	3	2
184	из предыдущего	2	2
185	заключается в	2	2
186	во втором	2	2
187	сказали что	3	2
188	при чем	6	2
189	так же	8	2
190	жизнь и	3	2
191	в своих	2	2
192	что только	2	2
193	самого себя	4	2
194	то есть	2	2
195	ничем не	4	2
196	однако это	2	2
197	мы можем	6	2
198	на него	2	2
199	о которой	2	2
200	на нас	3	2
201	если он	2	2
202	в одну	4	2
203	о которых	6	2
204	а затем	2	2
205	то в	2	2
206	в силу	7	2
207	на этой	2	2
208	признать что	3	2
209	ближе к	3	2
210	и может	3	2
211	он не	3	2
212	тогда как	6	2
213	в с	3	2
214	как мы	2	2
215	в в	4	2
216	для того	8	2
217	тем же	2	2
218	или иначе	5	2
219	во всяком	2	2
220	ту же	2	2
221	если же	3	2
222	состоит из	4	2
223	не потому	2	2
