N	2gram	Losev_Dial_4	Tvorches
1	у достоевского	2	28
2	и в	15	21
3	как бы	14	17
4	в то	6	15
5	в его	4	13
6	то же	9	13
7	что в	7	12
8	как и	7	12
9	же время	6	12
10	с его	5	11
11	том что	10	11
12	все это	9	10
13	как в	3	8
14	то что	16	8
15	в свою	3	7
16	в том	11	7
17	тем самым	3	7
18	при этом	2	7
19	не только	8	7
20	и не	30	7
21	и на	5	7
22	но в	3	7
23	что он	7	6
24	и все	11	6
25	не менее	2	6
26	в котором	2	6
27	и его	7	6
28	в этом	11	6
29	о том	5	6
30	отнюдь не	4	5
31	вовсе не	6	5
32	а не	18	5
33	но это	4	5
34	может быть	17	5
35	в этой	4	5
36	все же	2	5
37	таким образом	5	5
38	хотя бы	4	5
39	потому что	10	5
40	как будто	2	5
41	только в	7	5
42	в человеке	2	4
43	в своем	5	4
44	та же	3	4
45	человека и	2	4
46	прежде всего	11	4
47	и как	4	4
48	одной из	2	4
49	один из	4	4
50	в своей	3	4
51	не может	11	4
52	о времени	3	4
53	это не	12	4
54	никогда не	2	3
55	что все	4	3
56	представление о	2	3
57	я не	5	3
58	с ним	3	3
59	что человек	2	3
60	говорит о	3	3
61	с ее	10	3
62	это и	9	3
63	что я	5	3
64	в самом	2	3
65	той же	5	3
66	но если	5	3
67	в нем	5	3
68	и т	17	3
69	жизни и	4	3
70	не по	2	3
71	но и	4	3
72	ее в	2	3
73	в их	3	3
74	уже не	9	3
75	это как	2	3
76	того что	13	3
77	и даже	6	3
78	и по	2	3
79	вот почему	3	3
80	так же	4	3
81	в которой	2	3
82	воли и	2	3
83	и с	4	3
84	хотя и	6	3
85	в виде	3	3
86	так как	14	3
87	ни на	6	3
88	в основе	10	2
89	перед нами	6	2
90	а как	2	2
91	личности и	10	2
92	а что	2	2
93	и та	3	2
94	в частности	2	2
95	однако в	2	2
96	в качестве	2	2
97	в вечности	5	2
98	по крайней	7	2
99	точно так	2	2
100	в жизни	5	2
101	личности в	5	2
102	к этому	3	2
103	есть не	5	2
104	можно сказать	5	2
105	что и	6	2
106	крайней мере	7	2
107	его как	2	2
108	надо было	3	2
109	об этом	3	2
110	так что	6	2
111	не в	8	2
112	то в	5	2
113	не нужно	2	2
114	в нашей	2	2
115	из них	2	2
116	себя как	3	2
117	в ней	5	2
118	же и	2	2
119	и когда	2	2
120	себе не	2	2
121	был бы	2	2
122	и тем	6	2
123	тем не	2	2
124	не будет	2	2
125	когда он	3	2
126	вместе с	2	2
127	к жизни	3	2
128	так и	5	2
129	во всей	2	2
130	именно в	5	2
131	в себя	5	2
132	мы находим	2	2
133	что она	5	2
134	свободы и	3	2
135	но только	5	2
136	не мог	2	2
137	и будет	2	2
138	что не	3	2
139	и наконец	3	2
140	и притом	3	2
141	только что	2	2
142	на свете	4	2
143	отличие от	2	2
144	или в	7	2
145	и необходимости	3	2
146	сказать что	6	2
147	могут быть	3	2
148	известно что	3	2
149	в данном	3	2
150	в себе	8	2
151	в один	3	2
152	при помощи	3	2
153	в чем	8	2
154	нет ни	3	2
155	более не	3	2
156	значит что	9	2
157	в виду	9	2
