N	2gram	Nazirov_Vr_1	TeoriaLi
1	в мире	2	24
2	– это	6	20
3	не только	9	18
4	тогда как	2	16
5	и не	5	16
6	а в	2	14
7	и в	8	13
8	может быть	4	12
9	при этом	4	11
10	в этом	8	11
11	в том	3	11
12	и его	3	10
13	в его	3	9
14	то же	5	9
15	что в	7	8
16	но и	7	8
17	в себе	2	7
18	том что	3	7
19	точки зрения	2	7
20	в то	5	7
21	место в	2	6
22	с его	3	6
23	же время	5	6
24	еще не	2	6
25	как бы	4	6
26	в русской	3	6
27	но в	6	6
28	в своем	3	5
29	а также	2	5
30	как и	6	5
31	в нем	6	5
32	он не	3	5
33	уже не	2	5
34	между тем	5	5
35	не менее	2	4
36	в свою	2	4
37	и а	2	4
38	в своей	2	4
39	то что	7	4
40	отношение к	2	4
41	и т.п	2	4
42	не может	2	4
43	но он	3	4
44	и ее	2	4
45	никогда не	2	3
46	для него	2	3
47	как раз	2	3
48	так в	2	3
49	таким образом	2	3
50	а с	2	3
51	и что	8	3
52	и то	2	3
53	в этой	2	3
54	его в	3	3
55	человека с	2	3
56	я не	3	2
57	о чем	2	2
58	в конце	3	2
59	это не	4	2
60	о себе	3	2
61	что он	4	2
62	об этом	5	2
63	но как	2	2
64	и как	3	2
65	в виду	4	2
66	вместе с	2	2
67	русской литературе	3	2
68	в романе	6	2
69	в году	18	2
70	в той	2	2
71	и о	3	2
72	с точки	2	2
73	и даже	6	2
74	так же	4	2
75	их в	2	2
76	у него	5	2
77	о том	4	2
78	и это	2	2
79	в чем	3	2
80	отношения к	2	2
