N	2gram	Propp_Isto_7	KFilosof
1	может быть	14	43
2	в нем	6	31
3	не может	14	27
4	и не	4	26
5	и в	24	22
6	в котором	2	21
7	в ее	2	17
8	а не	8	17
9	и его	3	17
10	только в	6	16
11	точки зрения	4	13
12	в этом	12	13
13	ни в	2	12
14	но не	6	12
15	и это	2	12
16	все эти	2	11
17	не в	9	11
18	к нему	7	11
19	это не	10	10
20	все это	8	10
21	во всех	7	10
22	но и	11	9
23	в их	4	9
24	как бы	4	9
25	и все	6	9
26	для нее	2	9
27	было бы	2	8
28	со стороны	2	8
29	и здесь	12	7
30	во всем	2	7
31	вовсе не	4	7
32	конечно не	2	7
33	что и	8	7
34	то что	7	7
35	в том	7	6
36	но это	3	6
37	отношение к	5	6
38	он не	6	6
39	уже не	2	6
40	никогда не	4	5
41	но эта	2	5
42	то же	8	5
43	но все	4	5
44	не имеет	4	5
45	в основе	2	5
46	его в	3	5
47	с ним	5	5
48	но в	5	5
49	как и	6	5
50	не только	21	5
51	все же	9	5
52	мы имеем	12	5
53	там где	5	5
54	что в	13	4
55	для нас	6	4
56	здесь мы	5	4
57	при этом	4	4
58	к ним	2	4
59	не по	2	4
60	том что	10	4
61	а в	10	4
62	в чем	5	4
63	что это	6	3
64	не менее	5	3
65	себе и	3	3
66	здесь нет	3	3
67	и тем	2	3
68	того что	6	3
69	и на	2	3
70	в то	2	3
71	о том	9	3
72	но здесь	2	3
73	мы не	4	3
74	всех этих	6	3
75	тогда когда	3	3
76	но конечно	2	3
77	от него	3	3
78	еще не	8	3
79	что не	2	3
80	что этот	2	3
81	тем что	6	3
82	вступает в	3	3
83	здесь не	2	3
84	и этим	3	3
85	ничего не	5	3
86	та же	2	2
87	прежде всего	2	2
88	вопрос о	3	2
89	к которой	2	2
90	тем не	4	2
91	он может	4	2
92	нечто вроде	3	2
93	но для	2	2
94	тому что	2	2
95	что за	3	2
96	потому что	9	2
97	имеем в	5	2
98	к себе	3	2
99	с его	3	2
100	к этому	2	2
101	думать что	2	2
102	что он	21	2
103	не будет	2	2
104	в качестве	3	2
105	него и	3	2
106	тот же	2	2
107	и тот	2	2
108	кажется что	3	2
109	но есть	3	2
110	и когда	2	2
111	дело не	5	2
112	так и	5	2
113	как в	12	2
114	вытекает из	2	2
115	нами в	2	2
116	если не	4	2
117	и она	3	2
118	мы здесь	2	2
119	и эта	2	2
120	в данном	4	2
121	которой он	3	2
122	его на	2	2
