N	2gram	Medvedev_U_1	DiskursI
1	в себе	2	19
2	и в	14	16
3	может быть	6	16
4	как и	3	16
5	в этом	7	16
6	и не	8	15
7	а не	10	14
8	в частности	3	12
9	но и	4	11
10	но в	3	11
11	том что	2	10
12	не только	10	10
13	не может	7	9
14	в том	2	8
15	прежде всего	8	7
16	но не	2	7
17	с его	2	6
18	все же	3	6
19	в своей	3	6
20	то же	5	6
21	с другой	4	5
22	в противовес	2	5
23	же время	3	5
24	для него	3	5
25	то что	7	5
26	в то	3	5
27	этом отношении	2	4
28	в этой	4	4
29	и то	3	4
30	могут быть	2	3
31	это не	3	3
32	не столько	2	3
33	не в	2	3
34	в его	2	3
35	но это	2	3
36	только в	2	3
37	не следует	3	3
38	на первый	2	2
39	что он	2	2
40	должна быть	2	2
41	о чем	2	2
42	что и	2	2
43	сводится к	2	2
44	все это	5	2
45	более чем	2	2
46	установку на	2	2
47	другой стороны	3	2
48	и для	2	2
49	и с	2	2
50	не о	3	2
51	в области	3	2
52	между тем	2	2
