N	2gram	Losev_Prob_3	Sotsiolo
1	все это	5	7
2	в том	21	5
3	в этом	17	5
4	не в	13	3
5	для нас	16	3
6	и только	6	3
7	в его	9	3
8	и в	44	3
9	не только	14	3
10	как только	3	2
11	или даже	5	2
12	еще не	5	2
13	было бы	8	2
14	как будто	3	2
15	она может	2	2
16	только в	19	2
17	в конце	5	2
18	по существу	2	2
19	это и	7	2
20	таким образом	9	2
21	том что	12	2
22	то же	13	2
23	то что	23	2
24	тем более	3	2
25	может быть	28	2
26	за пределы	5	2
27	литературы и	2	2
28	в результате	2	2
29	в частности	2	2
30	и что	7	2
31	но и	10	2
32	дело не	2	2
33	как бы	9	2
34	конце концов	3	2
35	что в	8	2
