N	2gram	Losev_Dial_2	Problemy
1	и в	19	46
2	и не	30	27
3	может быть	20	23
4	как бы	14	19
5	не может	9	19
6	в нем	10	17
7	в этом	8	16
8	не только	19	14
9	перед нами	2	12
10	но и	12	12
11	как и	10	12
12	как мы	3	12
13	точки зрения	12	11
14	в одном	4	11
15	а не	16	11
16	не в	8	10
17	прежде всего	8	9
18	в том	14	9
19	в самом	5	9
20	и все	12	9
21	вовсе не	13	9
22	и к	7	9
23	с точки	8	9
24	до сих	2	8
25	конечно не	6	8
26	сих пор	2	8
27	или в	2	8
28	и с	5	7
29	по себе	18	7
30	еще не	4	7
31	в сущности	2	7
32	как раз	5	7
33	в себе	15	7
34	никогда не	9	6
35	в каждом	2	6
36	ни в	10	6
37	но это	7	6
38	есть в	2	6
39	но в	2	6
40	что он	6	6
41	что я	2	6
42	то же	12	6
43	все это	4	6
44	и его	5	6
45	только в	5	6
46	это не	10	5
47	же время	5	5
48	при этом	4	5
49	к нему	4	5
50	жизни и	6	5
51	мы находим	3	5
52	в то	6	5
53	так как	14	5
54	в жизни	2	5
55	за пределы	4	5
56	о том	5	5
57	во всех	2	5
58	если мы	2	5
59	уже в	4	4
60	что в	7	4
61	в этих	3	4
62	и время	4	4
63	можно сказать	5	4
64	да и	6	4
65	и нет	2	4
66	кроме того	3	4
67	например в	2	4
68	в виду	5	4
69	в их	2	4
70	таким образом	4	4
71	все эти	2	4
72	должно быть	7	4
73	потому что	14	4
74	же и	9	4
75	как в	2	4
76	том что	10	4
77	но не	6	4
78	совершенно не	7	4
79	он не	4	4
80	все же	4	4
81	то что	14	4
82	так и	10	4
83	уже не	3	4
84	самом деле	4	4
85	с другой	5	3
86	человека и	2	3
87	не могут	4	3
88	в мире	2	3
89	в своем	4	3
90	более или	2	3
91	на этом	2	3
92	и идеи	2	3
93	у меня	3	3
94	себе и	3	3
95	то это	2	3
96	и их	3	3
97	другой стороны	4	3
98	так же	2	3
99	и только	4	3
100	жизнь в	2	3
101	и даже	14	3
102	также и	2	3
103	но он	4	3
104	в конце	2	3
105	как он	4	3
106	их в	2	3
107	мы имеем	3	3
108	не как	2	3
109	с ее	2	3
110	и при	2	3
111	даны в	3	3
112	так чтобы	2	3
113	по своей	4	3
114	ведь это	3	3
115	и что	5	3
116	она не	8	3
117	было бы	3	3
118	мы уже	8	3
119	в своей	8	3
120	что и	5	3
121	себя в	2	3
122	на него	2	3
123	или менее	2	3
124	что же	2	3
125	в той	3	3
126	тем же	2	3
127	жизнь и	5	3
128	сам по	3	3
129	тем что	2	3
130	в этой	3	3
131	и это	5	3
132	не менее	3	2
133	сама по	7	2
134	должна быть	5	2
135	время и	2	2
136	только и	2	2
137	в одной	4	2
138	на все	2	2
139	вопрос о	3	2
140	к тому	2	2
141	все время	3	2
142	есть уже	2	2
143	все в	2	2
144	без всякого	4	2
145	в одно	5	2
146	так что	7	2
147	и как	10	2
148	но все	2	2
149	же как	3	2
150	времени и	9	2
151	ведь мы	2	2
152	в общем	2	2
153	и следовательно	5	2
154	той или	4	2
155	если в	2	2
156	и показать	2	2
157	того и	2	2
158	не было	3	2
159	они не	3	2
160	в системе	2	2
161	и по	4	2
162	а в	4	2
163	широком смысле	2	2
164	и совершенно	2	2
165	в результате	2	2
166	сказать что	10	2
167	в узком	2	2
168	о котором	3	2
169	что мы	2	2
170	с ним	4	2
171	между тем	2	2
172	сознания и	5	2
173	с этим	3	2
174	у пушкина	2	2
175	с нею	3	2
176	и жизнь	2	2
177	бы ни	2	2
178	раз в	2	2
179	и говорить	2	2
180	есть и	6	2
181	и слова	3	2
182	себе как	3	2
183	своей природе	2	2
184	об этом	3	2
185	но ведь	2	2
186	только к	2	2
187	оно должно	2	2
188	и времени	5	2
189	сами по	3	2
190	и пр	5	2
191	вместе с	2	2
192	бы и	2	2
193	это вовсе	2	2
194	все равно	5	2
195	и они	2	2
196	он есть	3	2
197	что такое	3	2
198	хотя бы	4	2
199	ничего не	3	2
200	в данном	3	2
201	во всяком	2	2
202	от этого	3	2
203	могут быть	4	2
204	в другом	4	2
205	в поэзии	7	2
206	того как	2	2
