N	2gram	Trubetskoy_1	Stilisti
1	и в	23	42
2	как бы	10	27
3	не только	7	27
4	прежде всего	3	22
5	и т.д	4	20
6	хотя бы	4	17
7	но и	9	15
8	то же	4	15
9	и не	8	14
10	может быть	16	12
11	не может	17	12
12	точки зрения	13	11
13	как и	9	11
14	мы уже	4	11
15	что мы	4	10
16	мы должны	4	10
17	отнюдь не	2	10
18	как мы	2	10
19	в этом	12	10
20	при этом	9	9
21	в то	6	9
22	то что	18	9
23	для того	8	9
24	все же	13	8
25	в ней	3	8
26	таким образом	31	8
27	с тем	2	8
28	что же	2	8
29	тем самым	3	8
30	в себе	5	8
31	и это	3	8
32	никогда не	4	7
33	и от	5	7
34	же время	2	7
35	и на	6	7
36	потому что	9	7
37	так как	7	7
38	было бы	3	7
39	того чтобы	8	7
40	мы можем	6	7
41	только в	6	7
42	в которой	5	7
43	точку зрения	2	6
44	другими словами	2	6
45	мы будем	3	6
46	не в	8	6
47	в этой	6	6
48	в свою	2	6
49	в конце	4	6
50	и так	2	6
51	в нем	3	6
52	во всех	10	6
53	в процессе	2	6
54	так и	10	6
55	в области	4	6
56	независимо от	2	5
57	в нашем	3	5
58	тому что	2	5
59	мы видели	2	5
60	и их	5	5
61	те же	2	5
62	а в	3	5
63	и с	5	5
64	и наконец	3	5
65	в сознании	6	5
66	в его	5	5
67	вместе с	6	5
68	с точки	8	5
69	что это	5	4
70	и без	5	4
71	к тому	8	4
72	которой мы	2	4
73	но все	5	4
74	свою очередь	2	4
75	в самом	8	4
76	все это	11	4
77	того что	6	4
78	так же	8	4
79	о том	7	4
80	его в	5	4
81	бы в	3	4
82	но в	4	4
83	если бы	8	4
84	и к	5	4
85	у нас	3	4
86	на него	2	4
87	а с	4	4
88	если мы	4	4
89	самом деле	12	4
90	тем же	2	4
91	и то	4	4
92	то есть	2	4
93	в разных	3	3
94	что у	2	3
95	это не	3	3
96	этом случае	4	3
97	для нас	3	3
98	и тому	2	3
99	но для	2	3
100	хотя и	4	3
101	в котором	2	3
102	представить себе	2	3
103	и уже	2	3
104	в целом	5	3
105	из них	5	3
106	жизни и	2	3
107	от того	3	3
108	заключает в	2	3
109	что оно	3	3
110	лишь в	5	3
111	не так	4	3
112	их в	2	3
113	в начале	2	3
114	та же	3	3
115	в виду	2	3
116	вследствие этого	2	3
117	и все	7	3
118	если он	2	3
119	этого слова	2	3
120	том что	19	3
121	в тех	3	3
122	социальной жизни	4	3
123	еще не	5	3
124	конечно не	3	3
125	что и	7	3
126	не будет	5	3
127	на самом	7	3
128	между ними	2	3
129	и для	6	3
130	конце концов	4	3
131	связи с	4	3
132	не знает	2	3
133	и поэтому	2	3
134	в частности	2	2
135	но даже	3	2
136	вопрос о	3	2
137	в мире	6	2
138	в том	30	2
139	тому же	6	2
140	очевидно что	3	2
141	для него	2	2
142	и сам	2	2
143	несмотря на	6	2
144	за ними	3	2
145	из двух	2	2
146	в этих	3	2
147	отношение к	4	2
148	о них	2	2
149	целый ряд	4	2
150	в связи	3	2
151	случаях когда	3	2
152	не было	2	2
153	все эти	19	2
154	следует искать	2	2
155	должно быть	4	2
156	и те	2	2
157	в которых	2	2
158	каждый из	3	2
159	в своих	2	2
160	также и	2	2
161	которые носят	2	2
162	по своей	7	2
163	все то	2	2
164	что эти	2	2
165	будет иметь	2	2
166	в жизни	3	2
167	в основе	2	2
168	не будут	2	2
169	между собой	4	2
170	с этим	11	2
171	к этому	5	2
172	ясно что	8	2
173	что он	7	2
174	на первый	2	2
175	при условии	2	2
176	только тогда	2	2
177	а к	2	2
178	ответить на	2	2
179	и при	6	2
180	но не	2	2
181	по своему	5	2
182	ни один	3	2
183	тот же	3	2
184	мы говорили	7	2
185	и потому	3	2
186	гораздо более	2	2
187	не есть	2	2
188	как не	2	2
189	этот процесс	2	2
190	сих пор	8	2
191	одной и	2	2
192	из которых	4	2
193	к нему	2	2
194	в дальнейшем	2	2
195	с ним	6	2
196	у них	6	2
197	этот вопрос	2	2
198	между двумя	5	2
199	и вообще	3	2
