N	2gram	Nazirov_Tr_1	Psycholo
1	и в	18	38
2	то что	4	35
3	в том	2	25
4	в самом	2	25
5	что в	4	20
6	может быть	7	19
7	и что	4	18
8	что она	2	16
9	то есть	3	15
10	том что	4	14
11	как бы	7	14
12	потому что	2	14
13	в этой	4	13
14	в этом	9	13
15	не только	8	12
16	не в	2	12
17	что он	6	11
18	что это	5	10
19	то же	5	10
20	и не	7	10
21	и все	4	10
22	все же	5	8
23	с тем	2	8
24	перед нами	2	8
25	в одном	2	8
26	как и	5	8
27	так что	2	8
28	и как	3	8
29	говорит что	2	8
30	и то	2	8
31	и это	2	8
32	в ее	2	7
33	не может	5	7
34	и здесь	2	6
35	к тому	2	6
36	один из	3	6
37	не имеет	2	6
38	он не	2	6
39	как это	3	6
40	и его	6	6
41	и на	7	6
42	о том	2	6
43	я не	4	5
44	в своем	3	5
45	несмотря на	5	5
46	но и	4	5
47	в его	3	5
48	никогда не	2	4
49	при этом	3	4
50	что с	3	4
51	не мог	2	4
52	в нем	4	4
53	что и	2	4
54	в целом	4	4
55	как в	3	4
56	все эти	3	4
57	и даже	4	4
58	что этот	2	4
59	у него	6	4
60	что эти	2	4
61	как будто	3	4
62	одна из	2	4
63	в себе	4	4
64	она должна	2	3
65	что все	2	3
66	ни в	2	3
67	он был	2	3
68	а я	5	3
69	но это	4	3
70	все это	4	3
71	то и	2	3
72	не так	2	3
73	в таком	2	3
74	тем что	2	3
75	в то	5	3
76	его в	2	3
77	но в	6	3
78	это был	2	2
79	в данном	2	2
80	но они	2	2
81	не могут	2	2
82	что образ	3	2
83	отнюдь не	3	2
84	в глаза	2	2
85	столь же	2	2
86	и я	2	2
87	и ее	2	2
88	как же	2	2
89	до конца	2	2
90	уже не	2	2
91	для него	3	2
92	с ее	3	2
93	данном случае	2	2
94	говорит о	2	2
95	так же	4	2
96	по мнению	2	2
97	в виде	2	2
98	что за	3	2
99	не просто	2	2
100	в конце	3	2
101	этими двумя	2	2
102	с ним	3	2
103	ничего не	2	2
