N	3gram	Vinokur_Vv_1	Myslijsy
1	по отношению к	4	8
2	в том что	12	7
3	само по себе	3	5
4	по крайней мере	4	5
5	о том что	12	5
6	в этом случае	6	5
7	не может быть	8	5
8	можно сказать что	3	4
9	то же самое	2	4
10	с тем что	3	4
11	и в этом	3	4
12	тем не менее	8	4
13	до сих пор	5	4
14	и то что	2	4
15	и т п	5	4
16	для того чтобы	21	4
17	во всяком случае	3	3
18	с точки зрения	2	3
19	вместе с тем	3	3
20	в то же	5	3
21	и т д	37	3
22	то же время	5	3
23	так или иначе	4	2
24	в данном случае	4	2
25	хотя бы и	2	2
26	в этих случаях	2	2
27	не что иное	4	2
28	и в том	3	2
29	обратить внимание на	2	2
30	не могут быть	2	2
31	вопрос о том	5	2
32	на этот вопрос	3	2
33	не в том	2	2
34	после того как	2	2
35	с течением времени	6	2
36	только в том	2	2
37	что иное как	4	2
