N	2gram	Losev_Vlad_3	Dialekti
1	не есть	10	40
2	и не	25	30
3	а не	8	18
4	может быть	8	17
5	ничего не	5	17
6	то что	28	16
7	и в	40	15
8	как бы	3	14
9	не имеет	4	14
10	так как	7	14
11	точки зрения	13	14
12	что это	9	13
13	это есть	10	13
14	того что	7	13
15	по себе	6	13
16	это не	3	12
17	прежде всего	10	11
18	в том	18	11
19	не может	14	11
20	и все	4	11
21	в этом	16	11
22	потому что	11	10
23	том что	18	10
24	было бы	4	9
25	в виду	3	9
26	мы не	2	9
27	и что	8	9
28	то же	4	9
29	уже не	9	9
30	с точки	6	9
31	значит что	6	9
32	ни в	10	8
33	не в	3	8
34	это значит	6	8
35	в себе	9	8
36	и о	4	8
37	не только	25	8
38	в чем	3	8
39	и это	6	8
40	что в	17	7
41	должна быть	2	7
42	не просто	10	7
43	что мы	2	7
44	что он	5	7
45	как и	7	7
46	ровно ничего	2	7
47	и его	10	7
48	и вообще	3	7
49	только в	13	7
50	перед нами	3	6
51	так что	14	6
52	же время	2	6
53	хотя и	7	6
54	и тем	3	6
55	а именно	12	6
56	и даже	6	6
57	есть просто	2	6
58	в результате	4	6
59	сказать что	12	6
60	вовсе не	13	6
61	ни на	2	6
62	если бы	3	6
63	в то	7	6
64	что и	7	6
65	нет ничего	2	6
66	я не	3	5
67	так и	6	5
68	в своем	8	5
69	на то	4	5
70	же это	2	5
71	и можно	4	5
72	не говорит	5	5
73	но что	2	5
74	того чтобы	3	5
75	в ней	5	5
76	но если	5	5
77	в нем	3	5
78	что она	2	5
79	но только	2	5
80	таким образом	11	5
81	именно в	3	5
82	знания и	2	5
83	и на	6	5
84	о том	11	5
85	мы имеем	3	5
86	с его	2	5
87	в жизни	2	5
88	быть в	2	5
89	есть не	2	5
90	то в	6	5
91	учение о	24	5
92	в смысле	6	5
93	и чисто	3	5
94	в сущности	2	5
95	если мы	4	5
96	для того	2	5
97	и для	3	5
98	в каком	4	5
99	оказывается что	2	4
100	что все	7	4
101	оно есть	6	4
102	идеи и	2	4
103	и как	7	4
104	но это	6	4
105	в этой	8	4
106	ни с	3	4
107	но и	18	4
108	так же	8	4
109	само по	3	4
110	или не	3	4
111	также и	17	4
112	и с	9	4
