N	3gram	Bakhtin_Pr_1	Vvedenie
1	для того чтобы	2	20
2	в том что	3	12
3	тем не менее	3	8
4	не может быть	11	8
5	в этом смысле	3	8
6	то же время	3	6
7	в самом деле	3	6
8	в то же	3	6
9	в применении к	3	6
10	и т п	13	5
11	с другой стороны	4	5
12	в данном случае	4	4
13	не только в	2	4
14	с одной стороны	3	4
15	можно было бы	3	4
16	в этом отношении	2	4
17	по отношению к	19	4
18	в строгом смысле	2	3
19	можно сказать что	2	3
20	той или иной	2	2
21	с точки зрения	6	2
22	не могут быть	2	2
23	имеет дело с	4	2
24	то же самое	2	2
