N	2gram	Savitsky_E_1	UchenyiS
1	и в	37	14
2	а не	2	10
3	не только	18	10
4	и не	14	8
5	прежде всего	9	8
6	то что	6	7
7	в этом	12	7
8	не может	9	7
9	может быть	6	6
10	хотя бы	15	5
11	и только	3	5
12	то же	15	5
13	но и	14	4
14	в этой	2	4
15	в их	11	4
16	в россии	5	4
17	с другой	7	4
18	только к	2	3
19	но в	14	3
20	как и	7	3
21	и то	2	3
22	в своей	8	3
23	в частности	5	3
24	бы то	4	3
25	очевидно что	3	3
26	по нашему	3	3
27	то ни	4	3
28	же время	14	3
29	другой стороны	2	3
30	в то	16	3
31	было бы	8	3
32	нашему мнению	2	3
33	в области	11	3
34	ни было	4	3
35	или точнее	2	3
36	том что	6	2
37	но не	5	2
38	в том	11	2
39	мы не	4	2
40	не есть	2	2
41	не в	5	2
42	и для	3	2
43	бы и	3	2
44	должна быть	2	2
45	этом смысле	3	2
46	если бы	2	2
47	только в	9	2
48	и с	2	2
49	но даже	4	2
50	тем что	3	2
51	могут быть	2	2
52	в себе	9	2
53	что все	2	2
54	этом отношении	3	2
55	в самом	4	2
56	в сторону	2	2
57	не могут	2	2
58	меньшей степени	2	2
59	по себе	4	2
60	в некоторых	2	2
61	что и	3	2
62	в его	2	2
63	более чем	2	2
64	между тем	8	2
65	таким образом	2	2
