N	3gram	Medvedev_F_2	Freidism
1	с точки зрения	7	11
2	во всяком случае	5	7
3	не может быть	10	7
4	в самом деле	5	6
5	в большинстве случаев	3	5
6	и прежде всего	2	5
7	то же время	5	4
8	в то же	5	4
9	как мы видели	4	4
10	в зависимости от	3	4
11	на самом деле	3	4
12	с самого начала	2	3
13	к тому чтобы	2	3
14	для того чтобы	3	3
15	в первом периоде	3	2
16	ни в чем	2	2
17	так и в	3	2
18	не могут быть	4	2
19	и не может	3	2
20	в отличие от	2	2
21	в конце концов	2	2
22	в этом отношении	7	2
23	в высшей степени	4	2
24	может быть и	3	2
25	в первый период	5	2
